date,stock_id,pre_close,ref_price,value,kind,open_base,source
2020-08-25,3226,54.8,51.8,3.0,除息,,finmind
2020-08-25,3317,36.5,35.5,1.0,除息,,finmind
2020-08-25,3646,17.5,16.65,0.850001,除息,,finmind
2020-08-25,4130,35.25,34.1,1.147059,除權息,,finmind
2020-08-25,4907,29.15,27.95,1.2,除息,,finmind
2020-08-25,5452,8.89,8.67,0.22,除息,,finmind
2020-08-25,5457,121,120.5,0.500251,除息,,finmind
2020-08-25,6199,12,11.8,0.2,除息,,finmind
2020-08-25,6683,287,283,4.0,除息,,finmind
2020-08-25,7402,29.5,27.12,2.37716,除權息,,finmind
2020-08-25,8043,24.05,23.55,0.5,除息,,finmind
2020-08-25,8096,12.45,12.01,0.440196,除權息,,finmind
2020-08-25,8446,104.5,101,3.5,除息,,finmind
