date,stock_id,pre_close,ref_price,value,kind,open_base,source
2017-07-25,3202,13.5,13.3,0.2,除息,,finmind
2017-07-25,3206,21.25,19.7,1.55,除權息,,finmind
2017-07-25,3628,43,40,3.0,除息,,finmind
2017-07-25,3666,25.2,24.2,1.0,除息,,finmind
2017-07-25,4416,80.6,78.6,2.0,除息,,finmind
2017-07-25,4417,37.9,35,2.9,除權息,,finmind
2017-07-25,4550,22.3,20.33,1.97,除息,,finmind
2017-07-25,4950,19.65,18.6,1.05,除息,,finmind
2017-07-25,6179,48.5,45.62,2.88,除息,,finmind
2017-07-25,6472,33.95,33.15,0.8,除息,,finmind
2017-07-25,6548,403,401.8,1.2,除息,,finmind
2017-07-25,8176,10.8,10.5,0.3,除息,,finmind
2017-07-25,8432,80.1,77,3.1,除息,,finmind
2017-07-25,8942,68,62.75,5.25,除息,,finmind
