date,stock_id,pre_close,ref_price,value,kind,open_base,source
2026-03-26,2947,80,78.9,1.1,除息,,finmind
2026-03-26,3188,32.3,29.1,3.195515,除息,,finmind
2026-03-26,3218,138.5,130.75,7.75,除息,,finmind
2026-03-26,4105,80,75.5,4.5,除息,,finmind
2026-03-26,4420,48.4,45.4,3.0,除息,,finmind
2026-03-26,5403,107,100.5,6.5,除息,,finmind
2026-03-26,5520,88.1,81.1,7.0,除息,,finmind
2026-03-26,6020,19.3,19.03,0.272666,除息,,finmind
2026-03-26,6151,31.15,29.65,1.5,除息,,finmind
2026-03-26,6188,94.9,93.2,1.7,除息,,finmind
2026-03-26,6423,89.8,88.8,1.0,除息,,finmind
2026-03-26,6523,118.5,116.5,2.0,除息,,finmind
2026-03-26,6596,144,125.3,18.700001,除息,,finmind
2026-03-26,6642,55.2,53.4,1.8,除息,,finmind
2026-03-26,6703,120.5,115.7,4.8,除息,,finmind
2026-03-26,6761,189,183,6.0,除息,,finmind
2026-03-26,6865,34.55,33.15,1.402462,除息,,finmind
2026-03-26,6953,227.5,221.5,6.0,除息,,finmind
2026-03-26,8109,101,96.5,4.5,除息,,finmind
2026-03-26,8908,42.4,40.9,1.5,除息,,finmind
2026-03-26,9949,27.2,25,2.2,除息,,finmind
