date,market,rows,traded,bad_hl,zero,neg,notrade_blanked
2004-02-11,twse,711,688,0,0,0,
2004-02-12,twse,711,690,0,0,0,
2004-02-13,twse,710,689,0,0,0,
2004-02-16,twse,710,689,0,0,0,
2004-02-17,twse,709,692,0,0,0,
2004-02-18,twse,709,687,0,0,0,
2004-02-19,twse,709,691,0,0,0,
2004-02-20,twse,709,691,0,0,0,
2004-02-23,twse,709,689,0,0,0,
2004-02-24,twse,709,688,0,0,0,
2004-02-25,twse,709,689,0,0,0,
2004-02-26,twse,709,690,0,0,0,
2004-02-27,twse,709,688,0,0,0,
2004-03-01,twse,709,690,0,0,0,
2004-03-02,twse,709,691,0,0,0,
2004-03-03,twse,708,691,0,0,0,
2004-03-04,twse,708,687,0,0,0,
2004-03-05,twse,708,684,0,0,0,
2004-03-08,twse,710,688,0,0,0,
2004-03-09,twse,711,690,0,0,0,
2004-03-10,twse,711,690,0,0,0,
2004-03-11,twse,711,688,0,0,0,
2004-03-12,twse,710,686,0,0,0,
2004-03-15,twse,710,686,0,0,0,
2004-03-16,twse,710,686,0,0,0,
2004-03-17,twse,712,688,0,0,0,
2004-03-18,twse,711,687,0,0,0,
2004-03-19,twse,712,686,0,0,0,
2004-03-22,twse,711,682,0,0,0,
2004-03-23,twse,711,686,0,0,0,
2004-03-24,twse,711,685,0,0,0,
2004-03-25,twse,711,685,0,0,0,
2004-03-26,twse,712,685,0,0,0,
2004-03-29,twse,712,687,0,0,0,
2004-03-30,twse,712,684,0,0,0,
2004-03-31,twse,712,682,0,0,0,
2004-04-01,twse,711,685,0,0,0,
2004-04-02,twse,708,683,0,0,0,
2004-04-05,twse,708,687,0,0,0,
2004-04-06,twse,708,686,0,0,0,
2004-04-07,twse,709,686,0,0,0,
2004-04-08,twse,708,682,0,0,0,
2004-04-09,twse,708,683,0,0,0,
2004-04-12,twse,708,685,0,0,0,
2004-04-13,twse,708,687,0,0,0,
2004-04-14,twse,708,689,0,0,0,
2004-04-15,twse,708,685,0,0,0,
2004-04-16,twse,708,687,0,0,0,
2004-04-19,twse,708,686,0,0,0,
2004-04-20,twse,707,685,0,0,0,
2004-04-21,twse,707,687,0,0,0,
2004-04-22,twse,706,686,0,0,0,
2004-04-23,twse,706,685,0,0,0,
2004-04-26,twse,706,682,0,0,0,
2004-04-27,twse,706,682,0,0,0,
2004-04-28,twse,705,682,0,0,0,
2004-04-29,twse,705,682,0,0,0,
2004-04-30,twse,706,682,0,0,0,
2004-05-03,twse,705,679,0,0,0,
2004-05-04,twse,705,681,0,0,0,
