date,stock_id,m_buy,m_sell,m_balance,m_limit,s_buy,s_sell,s_balance,m_prev,m_ret,s_prev,s_ret,note
2018-03-14,00697B,0,0,0,1678,0,0,0,,,,,
2018-03-15,00697B,0,0,0,1678,0,0,0,,,,,
2018-03-16,00697B,0,0,0,1678,0,0,0,,,,,
2018-03-19,00697B,0,0,0,1678,0,0,0,,,,,
2018-03-20,00697B,0,0,0,1678,0,0,0,,,,,
2018-03-21,00697B,0,0,0,1678,0,0,0,,,,,
2018-03-22,00697B,0,0,0,1678,0,0,0,,,,,
2018-03-23,00697B,0,0,0,1678,0,0,0,,,,,
2018-03-26,00697B,0,0,0,1678,0,0,0,,,,,
2018-03-27,00697B,0,0,0,1678,0,0,0,,,,,
2018-03-28,00697B,0,0,0,1678,0,0,0,,,,,
2018-03-29,00697B,0,0,0,1678,0,0,0,,,,,
2018-03-30,00697B,0,0,0,1678,0,0,0,,,,,
2018-03-31,00697B,0,0,0,1678,0,0,0,,,,,
2018-04-02,00697B,0,0,0,1678,0,0,0,,,,,
2018-04-03,00697B,0,0,0,1678,0,0,0,,,,,
2018-04-09,00697B,0,0,0,1678,0,0,0,,,,,
2018-04-10,00697B,0,0,0,1678,0,0,0,,,,,
2018-04-11,00697B,0,0,0,1678,0,0,0,,,,,
2018-04-12,00697B,0,0,0,1678,0,0,0,,,,,
2018-04-13,00697B,0,0,0,1678,0,0,0,,,,,
2018-04-16,00697B,0,0,0,1678,0,0,0,,,,,
2018-04-17,00697B,0,0,0,1678,0,0,0,,,,,
2018-04-18,00697B,0,0,0,1678,0,0,0,,,,,
2018-04-19,00697B,0,0,0,1678,0,0,0,,,,,
2018-04-20,00697B,0,0,0,1678,0,0,0,,,,,
2018-04-23,00697B,0,0,0,1678,0,0,0,,,,,
2018-04-24,00697B,0,0,0,1678,0,0,0,,,,,
2018-04-25,00697B,0,0,0,1678,0,0,0,,,,,
2018-04-26,00697B,0,0,0,1803,0,0,0,,,,,
2018-04-27,00697B,0,0,0,1803,0,0,0,,,,,
2018-04-30,00697B,0,0,0,3678,0,0,0,,,,,
2018-05-02,00697B,0,0,0,3678,0,0,0,,,,,
2018-05-03,00697B,0,0,0,3678,0,0,0,,,,,
2018-05-04,00697B,0,0,0,3428,0,0,0,,,,,
2018-05-07,00697B,0,0,0,3428,0,0,0,,,,,
2018-05-08,00697B,0,0,0,3428,0,0,0,,,,,
2018-05-09,00697B,0,0,0,3428,0,0,0,,,,,
2018-05-10,00697B,0,0,0,3428,0,0,0,,,,,
2018-05-11,00697B,0,0,0,3428,0,0,0,,,,,
2018-05-14,00697B,0,0,0,3428,0,0,0,,,,,
2018-05-15,00697B,0,0,0,3428,0,0,0,,,,,
2018-05-16,00697B,0,0,0,3428,0,0,0,,,,,
2018-05-17,00697B,0,0,0,3428,0,0,0,,,,,
2018-05-18,00697B,0,0,0,3428,0,0,0,,,,,
2018-05-21,00697B,0,0,0,3428,0,0,0,,,,,
2018-05-22,00697B,0,0,0,3428,0,0,0,,,,,
2018-05-23,00697B,0,0,0,3428,0,0,0,,,,,
2018-05-24,00697B,0,0,0,3428,0,0,0,,,,,
2018-05-25,00697B,0,0,0,3428,0,0,0,,,,,
2018-05-28,00697B,0,0,0,3428,0,0,0,,,,,
2018-05-29,00697B,0,0,0,3428,0,0,0,,,,,
2018-05-30,00697B,0,0,0,3428,0,0,0,,,,,
2018-05-31,00697B,0,0,0,3428,0,0,0,,,,,
2018-06-01,00697B,0,0,0,1553,0,0,0,,,,,
2018-06-04,00697B,0,0,0,1428,0,0,0,,,,,
2018-06-05,00697B,0,0,0,1428,0,0,0,,,,,
2018-06-06,00697B,0,0,0,1428,0,0,0,,,,,
2018-06-07,00697B,0,0,0,1428,0,0,0,,,,,
2018-06-08,00697B,0,0,0,1428,0,0,0,,,,,
2018-06-11,00697B,0,0,0,1428,0,0,0,,,,,
2018-06-12,00697B,0,0,0,1428,0,0,0,,,,,
2018-06-13,00697B,0,0,0,1428,0,0,0,,,,,
2018-06-14,00697B,0,0,0,1428,0,0,0,,,,,
2018-06-15,00697B,0,0,0,1428,0,0,0,,,,,
2018-06-19,00697B,0,0,0,1428,0,0,0,,,,,
2018-06-20,00697B,0,0,0,1428,0,0,0,,,,,
2018-06-21,00697B,0,0,0,1428,0,0,0,,,,,
2018-06-22,00697B,0,0,0,1428,0,0,0,,,,,
2018-06-25,00697B,0,0,0,1428,0,0,0,,,,,
2018-06-26,00697B,0,0,0,1428,0,0,0,,,,,
2018-06-27,00697B,0,0,0,1428,0,0,0,,,,,
2018-06-28,00697B,0,0,0,1428,0,0,0,,,,,
2018-06-29,00697B,0,0,0,1428,0,0,0,,,,,
2018-07-02,00697B,0,0,0,1428,0,0,0,,,,,
2018-07-03,00697B,0,0,0,1428,0,0,0,,,,,
2018-07-04,00697B,0,0,0,1428,0,0,0,,,,,
2018-07-05,00697B,0,0,0,1428,0,0,0,,,,,
2018-07-06,00697B,0,0,0,1428,0,0,0,,,,,
2018-07-09,00697B,0,0,0,1428,0,0,0,,,,,
2018-07-10,00697B,0,0,0,1428,0,0,0,,,,,
2018-07-11,00697B,0,0,0,1428,0,0,0,,,,,
2018-07-12,00697B,0,0,0,1428,0,0,0,,,,,
2018-07-13,00697B,0,0,0,1428,0,0,0,,,,,
2018-07-16,00697B,0,0,0,1428,0,0,0,,,,,
2018-07-17,00697B,0,0,0,1428,0,0,0,,,,,
2018-07-18,00697B,0,0,0,1428,0,0,0,,,,,
2018-07-19,00697B,0,0,0,1428,0,0,0,,,,,
2018-07-20,00697B,0,0,0,1428,0,0,0,,,,,
2018-07-23,00697B,0,0,0,1428,0,0,0,,,,,
2018-07-24,00697B,0,0,0,1428,0,0,0,,,,,
2018-07-25,00697B,0,0,0,1428,0,0,0,,,,,
2018-07-26,00697B,0,0,0,1428,0,0,0,,,,,
2018-07-27,00697B,0,0,0,1428,0,0,0,,,,,
2018-07-30,00697B,0,0,0,1428,0,0,0,,,,,
2018-07-31,00697B,0,0,0,1428,0,0,0,,,,,
2018-08-01,00697B,0,0,0,1428,0,0,0,,,,,
2018-08-02,00697B,0,0,0,1428,0,0,0,,,,,
2018-08-03,00697B,0,0,0,1428,0,0,0,,,,,
2018-08-06,00697B,0,0,0,1428,0,0,0,,,,,
2018-08-07,00697B,0,0,0,1428,0,0,0,,,,,
2018-08-08,00697B,0,0,0,1428,0,0,0,,,,,
2018-08-09,00697B,0,0,0,1428,0,0,0,,,,,
2018-08-10,00697B,0,0,0,1428,0,0,0,,,,,
2018-08-13,00697B,0,0,0,1428,0,0,0,,,,,
2018-08-14,00697B,0,0,0,1428,0,0,0,,,,,
2018-08-15,00697B,0,0,0,1428,0,0,0,,,,,
2018-08-16,00697B,0,0,0,1428,0,0,0,,,,,
2018-08-17,00697B,0,0,0,1428,0,0,0,,,,,
2018-08-20,00697B,0,0,0,1428,0,0,0,,,,,
2018-08-21,00697B,0,0,0,1428,0,0,0,,,,,
2018-08-22,00697B,0,0,0,1428,0,0,0,,,,,
2018-08-23,00697B,0,0,0,1428,0,0,0,,,,,
2018-08-24,00697B,0,0,0,1428,0,0,0,,,,,
2018-08-27,00697B,0,0,0,1428,0,0,0,,,,,
2018-08-28,00697B,0,0,0,1428,0,0,0,,,,,
2018-08-29,00697B,0,0,0,1428,0,0,0,,,,,
2018-08-30,00697B,0,0,0,1428,0,0,0,,,,,
2018-08-31,00697B,0,0,0,1428,0,0,0,,,,,
2018-09-03,00697B,0,0,0,1428,0,0,0,,,,,
2018-09-04,00697B,0,0,0,1428,0,0,0,,,,,
2018-09-05,00697B,0,0,0,1428,0,0,0,,,,,
2018-09-06,00697B,0,0,0,7803,0,0,0,,,,,
2018-09-07,00697B,0,0,0,7428,0,0,0,,,,,
2018-09-10,00697B,0,0,0,7428,0,0,0,,,,,
2018-09-11,00697B,0,0,0,7428,0,0,0,,,,,
2018-09-12,00697B,0,0,0,7428,0,0,0,,,,,
2018-09-13,00697B,0,0,0,7428,0,0,0,,,,,
2018-09-14,00697B,0,0,0,7428,0,0,0,,,,,
2018-09-17,00697B,0,0,0,7428,0,0,0,,,,,
2018-09-18,00697B,0,0,0,7428,0,0,0,,,,,
2018-09-19,00697B,0,0,0,7428,0,0,0,,,,,
2018-09-20,00697B,0,0,0,7428,0,0,0,,,,,
2018-09-21,00697B,0,0,0,13928,0,0,0,,,,,
2018-09-25,00697B,0,0,0,13928,0,0,0,,,,,
2018-09-26,00697B,0,0,0,13928,0,0,0,,,,,
2018-09-27,00697B,0,0,0,13928,0,0,0,,,,,
2018-09-28,00697B,0,0,0,13928,0,0,0,,,,,
2018-10-01,00697B,0,0,0,13928,0,0,0,,,,,
2018-10-02,00697B,0,0,0,13928,0,0,0,,,,,
2018-10-03,00697B,0,0,0,13928,0,0,0,,,,,
2018-10-04,00697B,0,0,0,13928,0,0,0,,,,,
2018-10-05,00697B,0,0,0,13928,0,0,0,,,,,
2018-10-08,00697B,0,0,0,13928,0,0,0,,,,,
2018-10-09,00697B,0,0,0,13928,0,0,0,,,,,
2018-10-11,00697B,0,0,0,13928,0,0,0,,,,,
2018-10-12,00697B,0,0,0,13803,0,0,0,,,,,
2018-10-15,00697B,0,0,0,13803,0,0,0,,,,,
2018-10-16,00697B,0,0,0,13803,0,0,0,,,,,
2018-10-17,00697B,0,0,0,13803,0,0,0,,,,,
2018-10-18,00697B,0,0,0,13803,0,0,0,,,,,
2018-10-19,00697B,0,0,0,13803,0,0,0,,,,,
2018-10-22,00697B,0,0,0,13803,0,0,0,,,,,
2018-10-23,00697B,0,0,0,13803,0,0,0,,,,,
2018-10-24,00697B,0,0,0,13803,0,0,0,,,,,
2018-10-25,00697B,0,0,0,13803,0,0,0,,,,,
2018-10-26,00697B,0,0,0,13803,0,0,0,,,,,
2018-10-29,00697B,0,0,0,13803,0,0,0,,,,,
2018-10-30,00697B,0,0,0,13803,0,0,0,,,,,
2018-10-31,00697B,0,0,0,13803,0,0,0,,,,,
2018-11-01,00697B,0,0,0,13803,0,0,0,,,,,
2018-11-02,00697B,0,0,0,13803,0,0,0,,,,,
2018-11-05,00697B,0,0,0,13803,0,0,0,,,,,
2018-11-06,00697B,0,0,0,13803,0,0,0,,,,,
2018-11-07,00697B,0,0,0,13803,0,0,0,,,,,
2018-11-08,00697B,0,0,0,13803,0,0,0,,,,,
2018-11-09,00697B,0,0,0,13803,0,0,0,,,,,
2018-11-12,00697B,0,0,0,13803,0,0,0,,,,,
2018-11-13,00697B,0,0,0,13803,0,0,0,,,,,
2018-11-14,00697B,0,0,0,13803,0,0,0,,,,,
2018-11-15,00697B,0,0,0,13803,0,0,0,,,,,
2018-11-16,00697B,0,0,0,13803,0,0,0,,,,,
2018-11-19,00697B,0,0,0,13803,0,0,0,,,,,
2018-11-20,00697B,0,0,0,13803,0,0,0,,,,,
2018-11-21,00697B,0,0,0,13803,0,0,0,,,,,
2018-11-22,00697B,0,0,0,13803,0,0,0,,,,,
2018-11-23,00697B,0,0,0,13803,0,0,0,,,,,
2018-11-26,00697B,0,0,0,13803,0,0,0,,,,,
2018-11-27,00697B,0,0,0,13803,0,0,0,,,,,
2018-11-28,00697B,0,0,0,13803,0,0,0,,,,,
2018-11-29,00697B,0,0,0,13803,0,0,0,,,,,
2018-11-30,00697B,0,0,0,13803,0,0,0,,,,,
2018-12-03,00697B,0,0,0,13803,0,0,0,,,,,
2018-12-04,00697B,0,0,0,13803,0,0,0,,,,,
2018-12-05,00697B,0,0,0,14428,0,0,0,,,,,
2018-12-06,00697B,0,0,0,14428,0,0,0,,,,,
2018-12-07,00697B,0,0,0,14428,0,0,0,,,,,
2018-12-10,00697B,0,0,0,14428,0,0,0,,,,,
2018-12-11,00697B,0,0,0,15303,0,0,0,,,,,
2018-12-12,00697B,0,0,0,15303,0,0,0,,,,,
2018-12-13,00697B,0,0,0,15303,0,0,0,,,,,
2018-12-14,00697B,0,0,0,15303,0,0,0,,,,,
2018-12-17,00697B,0,0,0,15303,0,0,0,,,,,
2018-12-18,00697B,0,0,0,15303,0,0,0,,,,,
2018-12-19,00697B,0,0,0,15303,0,0,0,,,,,
2018-12-20,00697B,0,0,0,15303,0,0,0,,,,,
2018-12-21,00697B,0,0,0,15303,0,0,0,,,,,
2018-12-22,00697B,0,0,0,15303,0,0,0,,,,,
2018-12-24,00697B,0,0,0,15303,0,0,0,,,,,
2018-12-25,00697B,0,0,0,15303,0,0,0,,,,,
2018-12-26,00697B,0,0,0,15303,0,0,0,,,,,
2018-12-27,00697B,0,0,0,15303,0,0,0,,,,,
2018-12-28,00697B,0,0,0,15303,0,0,0,,,,,
2019-01-02,00697B,0,0,0,15303,0,0,0,,,,,
2019-01-03,00697B,0,0,0,15303,0,0,0,,,,,
2019-01-04,00697B,0,0,0,8678,0,0,0,,,,,
2019-01-07,00697B,0,0,0,2303,0,0,0,,,,,
2019-01-08,00697B,0,0,0,2303,0,0,0,,,,,
2019-01-09,00697B,0,0,0,2303,0,0,0,,,,,
2019-01-10,00697B,0,0,0,2303,0,0,0,,,,,
2019-01-11,00697B,0,0,0,2303,0,0,0,,,,,
2019-01-14,00697B,0,0,0,2303,0,0,0,,,,,
2019-01-15,00697B,0,0,0,2303,0,0,0,,,,,
2019-01-16,00697B,0,0,0,2303,0,0,0,,,,,
2019-01-17,00697B,0,0,0,2303,0,0,0,,,,,
2019-01-18,00697B,0,0,0,2303,0,0,0,,,,,
2019-01-21,00697B,0,0,0,2303,0,0,0,,,,,
2019-01-22,00697B,0,0,0,2303,0,0,0,,,,,
2019-01-23,00697B,0,0,0,8803,0,0,0,,,,,
2019-01-24,00697B,0,0,0,8803,0,0,0,,,,,
2019-01-25,00697B,0,0,0,8803,0,0,0,,,,,
2019-01-28,00697B,0,0,0,8803,0,0,0,,,,,
2019-01-29,00697B,3,0,3,8803,0,0,0,,,,,
2019-01-30,00697B,2,0,5,8803,0,0,0,,,,,
2019-02-11,00697B,0,0,5,8803,0,0,0,,,,,
2019-02-12,00697B,0,0,5,8803,0,0,0,,,,,
2019-02-13,00697B,0,0,5,8803,0,0,0,,,,,
2019-02-14,00697B,0,0,5,8803,0,0,0,,,,,
2019-02-15,00697B,0,0,5,8803,0,0,0,,,,,
2019-02-18,00697B,0,5,0,8803,0,0,0,,,,,
2019-02-19,00697B,0,0,0,8803,0,0,0,,,,,
2019-02-20,00697B,0,0,0,8803,0,0,0,,,,,
2019-02-21,00697B,0,0,0,8803,0,0,0,,,,,
2019-02-22,00697B,0,0,0,8803,0,0,0,,,,,
2019-02-25,00697B,0,0,0,8803,0,0,0,,,,,
2019-02-26,00697B,0,0,0,8803,0,0,0,,,,,
2019-02-27,00697B,0,0,0,8803,0,0,0,,,,,
2019-03-04,00697B,0,0,0,8803,0,0,0,,,,,
2019-03-05,00697B,0,0,0,8803,0,0,0,,,,,
2019-03-06,00697B,0,0,0,8803,0,0,0,,,,,
2019-03-07,00697B,0,0,0,8803,0,0,0,,,,,
2019-03-08,00697B,0,0,0,8803,0,0,0,,,,,
2019-03-11,00697B,0,0,0,8803,0,0,0,,,,,
2019-03-12,00697B,0,0,0,9053,0,0,0,,,,,
2019-03-13,00697B,0,0,0,9053,0,0,0,,,,,
2019-03-14,00697B,0,0,0,9053,0,0,0,,,,,
2019-03-15,00697B,0,0,0,9178,0,0,0,,,,,
2019-03-18,00697B,0,0,0,9178,0,0,0,,,,,
2019-03-19,00697B,0,0,0,9178,0,0,0,,,,,
2019-03-20,00697B,0,0,0,9178,0,0,0,,,,,
2019-03-21,00697B,1,0,1,9803,0,0,0,,,,,
2019-03-22,00697B,0,1,0,9803,0,0,0,,,,,
2019-03-25,00697B,0,0,0,9803,0,0,0,,,,,
2019-03-26,00697B,0,0,0,9803,0,0,0,,,,,
2019-03-27,00697B,0,0,0,9803,0,0,0,,,,,
2019-03-28,00697B,0,0,0,9803,0,0,0,,,,,
2019-03-29,00697B,0,0,0,9803,0,0,0,,,,,
2019-04-01,00697B,0,0,0,9803,0,0,0,,,,,
2019-04-02,00697B,0,0,0,9803,0,0,0,,,,,
2019-04-03,00697B,0,0,0,9803,0,0,0,,,,,
2019-04-08,00697B,0,0,0,9678,0,0,0,,,,,
2019-04-09,00697B,0,0,0,9678,0,0,0,,,,,
2019-04-10,00697B,0,0,0,11428,0,0,0,,,,,
2019-04-11,00697B,0,0,0,11428,0,0,0,,,,,
2019-04-12,00697B,0,0,0,11428,0,0,0,,,,,
2019-04-15,00697B,0,0,0,11428,0,0,0,,,,,
2019-04-16,00697B,0,0,0,11428,0,0,0,,,,,
2019-04-17,00697B,0,0,0,11428,0,0,0,,,,,
