date,stock_id,m_buy,m_sell,m_balance,m_limit,s_buy,s_sell,s_balance,m_prev,m_ret,s_prev,s_ret,note
2015-01-05,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-01-06,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-01-07,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-01-08,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-01-09,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-01-12,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-01-13,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-01-14,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-01-15,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-01-16,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-01-19,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-01-20,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-01-21,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-01-22,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-01-23,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-01-26,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-01-27,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-01-28,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-01-29,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-01-30,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-02-02,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-02-03,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-02-04,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-02-05,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-02-06,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-02-09,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-02-10,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-02-11,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-02-12,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-02-13,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-02-24,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-02-25,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-02-26,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-03-02,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-03-03,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-03-04,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-03-05,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-03-06,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-03-09,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-03-10,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-03-11,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-03-12,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-03-13,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-03-16,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-03-17,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-03-18,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-03-19,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-03-20,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-03-23,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-03-24,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-03-25,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-03-26,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-03-27,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-03-30,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-03-31,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-04-01,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-04-02,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-04-07,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-04-08,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-04-09,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-04-10,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-04-13,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-04-14,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-04-15,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-04-16,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-04-17,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-04-20,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-04-21,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-04-22,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-04-23,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-04-24,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-04-27,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-04-28,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-04-29,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-04-30,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-05-04,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-05-05,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-05-06,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-05-07,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-05-08,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-05-11,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-05-12,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-05-13,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-05-14,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-05-15,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-05-18,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-05-19,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-05-20,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-05-21,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-05-22,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-05-25,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-05-26,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-05-27,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-05-28,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-05-29,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-06-01,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-06-02,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-06-03,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-06-04,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-06-05,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-06-08,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-06-09,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-06-10,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-06-11,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-06-12,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-06-15,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-06-16,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-06-17,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-06-18,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-06-22,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-06-23,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-06-24,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-06-25,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-06-26,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-06-29,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-06-30,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-07-01,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-07-02,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-07-03,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-07-06,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-07-07,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-07-08,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-07-09,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-07-13,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-07-14,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-07-15,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-07-16,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-07-17,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-07-20,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-07-21,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-07-22,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-07-23,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-07-24,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-07-27,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-07-28,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-07-29,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-07-30,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-07-31,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-08-03,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-08-04,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-08-05,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-08-06,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-08-07,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-08-10,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-08-11,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-08-12,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-08-13,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-08-14,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-08-17,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-08-18,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-08-19,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-08-20,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-08-21,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-08-24,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-08-25,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-08-26,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-08-27,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-08-28,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-08-31,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-09-01,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-09-02,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-09-03,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-09-04,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-09-07,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-09-08,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-09-09,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-09-10,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-09-11,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-09-14,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-09-15,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-09-16,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-09-17,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-09-18,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-09-21,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-09-22,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-09-23,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-09-24,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-09-25,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-09-30,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-10-01,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-10-02,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
2015-10-05,6172,0,0,0,10120,0,0,0,0,0,0,0,OX
