date,stock_id,m_buy,m_sell,m_balance,m_limit,s_buy,s_sell,s_balance,m_prev,m_ret,s_prev,s_ret,note
2015-01-05,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-01-06,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-01-07,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-01-08,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-01-09,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-01-12,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-01-13,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-01-14,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-01-15,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-01-16,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-01-19,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-01-20,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-01-21,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-01-22,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-01-23,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-01-26,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-01-27,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-01-28,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-01-29,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-01-30,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-02-02,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-02-03,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-02-04,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-02-05,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-02-06,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-02-09,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-02-10,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-02-11,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-02-12,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-02-13,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-02-24,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-02-25,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-02-26,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-03-02,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-03-03,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-03-04,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-03-05,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-03-06,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-03-09,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-03-10,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-03-11,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-03-12,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-03-13,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-03-16,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-03-17,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-03-18,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-03-19,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-03-20,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-03-23,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-03-24,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-03-25,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-03-26,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-03-27,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-03-30,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-03-31,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-04-01,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-04-02,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-04-07,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-04-08,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-04-09,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-04-10,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-04-13,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-04-14,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-04-15,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-04-16,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-04-17,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-04-20,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-04-21,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-04-22,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-04-23,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-04-24,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-04-27,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-04-28,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-04-29,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-04-30,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-05-04,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-05-05,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-05-06,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-05-07,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-05-08,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-05-11,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-05-12,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-05-13,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-05-14,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-05-15,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-05-18,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-05-19,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-05-20,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-05-21,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-05-22,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-05-25,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-05-26,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-05-27,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-05-28,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-05-29,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-06-01,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-06-02,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-06-03,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-06-04,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-06-05,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
2015-06-08,3038,0,0,0,56526,0,0,0,0,0,0,0,OX
