date,stock_id,m_buy,m_sell,m_balance,m_limit,s_buy,s_sell,s_balance,m_prev,m_ret,s_prev,s_ret
2018-05-31,00738U,0,0,0,3449,0,0,0,,,,
2018-06-01,00738U,22,0,22,3449,0,0,0,,,,
2018-06-04,00738U,0,0,22,3449,0,0,0,,,,
2018-06-05,00738U,0,0,22,3449,0,0,0,,,,
2018-06-06,00738U,4,5,21,3199,0,0,0,,,,
2018-06-07,00738U,2,6,17,3199,0,0,0,,,,
2018-06-08,00738U,5,0,22,3199,0,0,0,,,,
2018-06-11,00738U,3,0,25,3199,0,0,0,,,,
2018-06-12,00738U,0,6,19,3199,0,0,0,,,,
2018-06-13,00738U,0,7,12,3199,0,0,0,,,,
2018-06-14,00738U,6,0,18,3199,0,0,0,,,,
2018-06-15,00738U,36,0,54,3199,0,0,0,,,,
2018-06-19,00738U,17,43,28,3199,0,0,0,,,,
2018-06-20,00738U,129,0,157,3199,0,0,0,,,,
2018-06-21,00738U,22,0,179,3199,0,0,0,,,,
2018-06-22,00738U,5,0,184,3199,0,0,0,,,,
2018-06-25,00738U,4,0,188,3199,0,0,0,,,,
2018-06-26,00738U,0,26,162,3199,0,0,0,,,,
2018-06-27,00738U,2,5,159,3199,0,0,0,,,,
2018-06-28,00738U,0,0,159,3199,0,0,0,,,,
2018-06-29,00738U,3,0,162,3199,0,0,0,,,,
2018-07-02,00738U,2,0,164,3199,0,0,0,,,,
2018-07-03,00738U,72,0,236,3199,0,0,0,,,,
2018-07-04,00738U,8,2,242,3199,0,0,0,,,,
2018-07-05,00738U,0,0,242,3199,0,0,0,,,,
2018-07-06,00738U,12,0,254,3199,0,0,0,,,,
2018-07-09,00738U,0,0,254,3199,0,0,0,,,,
2018-07-10,00738U,0,0,254,3199,0,0,0,,,,
2018-07-11,00738U,0,3,251,3199,0,0,0,,,,
2018-07-12,00738U,24,0,275,3199,0,0,0,,,,
2018-07-13,00738U,0,0,275,3199,0,0,0,,,,
2018-07-16,00738U,0,1,274,3199,0,0,0,,,,
2018-07-17,00738U,0,0,274,3199,0,0,0,,,,
2018-07-18,00738U,13,7,280,3199,0,0,0,,,,
2018-07-19,00738U,1,4,277,3199,0,0,0,,,,
2018-07-20,00738U,11,0,288,3199,0,0,0,,,,
2018-07-23,00738U,7,2,293,3199,0,0,0,,,,
2018-07-24,00738U,9,3,299,3199,0,0,0,,,,
2018-07-25,00738U,5,3,301,3199,0,0,0,,,,
2018-07-26,00738U,2,14,289,3199,0,0,0,,,,
2018-07-27,00738U,0,0,289,3199,0,0,0,,,,
2018-07-30,00738U,0,0,289,3199,0,0,0,,,,
2018-07-31,00738U,0,0,289,3199,0,0,0,,,,
2018-08-01,00738U,0,0,289,3199,0,0,0,,,,
2018-08-02,00738U,0,12,277,3199,0,0,0,,,,
2018-08-03,00738U,7,3,281,3199,0,0,0,,,,
2018-08-06,00738U,2,2,281,3199,0,0,0,,,,
2018-08-07,00738U,0,0,281,3199,0,0,0,,,,
2018-08-08,00738U,0,3,278,3199,0,0,0,,,,
2018-08-09,00738U,5,5,278,3199,0,0,0,,,,
2018-08-10,00738U,1,6,281,3199,0,0,0,,,,
2018-08-13,00738U,2,0,281,3199,0,0,0,,,,
2018-08-14,00738U,3,6,278,3199,0,0,0,,,,
2018-08-15,00738U,0,0,278,3199,0,0,0,,,,
2018-08-16,00738U,9,0,287,3199,0,0,0,,,,
2018-08-17,00738U,5,2,290,3199,0,0,0,,,,
2018-08-20,00738U,0,0,290,3199,0,0,0,,,,
2018-08-21,00738U,0,0,290,3199,0,0,0,,,,
2018-08-22,00738U,0,0,290,3199,0,0,0,,,,
2018-08-23,00738U,92,0,382,3199,0,0,0,,,,
2018-08-24,00738U,23,5,400,3199,0,0,0,,,,
2018-08-27,00738U,1,6,395,3199,0,0,0,,,,
2018-08-28,00738U,0,3,392,3199,0,0,0,,,,
2018-08-29,00738U,0,1,391,3199,0,0,0,,,,
2018-08-30,00738U,110,1,500,3199,0,0,0,,,,
2018-08-31,00738U,22,0,522,3199,0,0,0,,,,
2018-09-03,00738U,235,0,757,3199,0,0,0,,,,
2018-09-04,00738U,20,0,777,3199,0,0,0,,,,
2018-09-05,00738U,142,0,919,3199,0,0,0,,,,
