stock_id,market,date,prev_date,ratio,gap,rule
1213,twse,2019-09-24,2019-04-03,0.9006,117,gap
1225,twse,2025-06-23,2025-04-02,1.0995,53,gap
1235,twse,2023-01-16,2023-01-06,1.0059,5,gap
1333,tpex,2018-10-08,2018-09-28,0.9258,5,gap
1333,tpex,2018-11-16,2018-11-07,1.0,6,gap
1418,twse,2018-05-02,2018-04-23,1.0159,5,gap
1418,twse,2018-08-08,2018-07-31,0.9127,5,gap
1418,twse,2018-08-30,2018-08-21,0.935,6,gap
1418,twse,2018-09-17,2018-09-03,0.9193,9,gap
1418,twse,2018-10-18,2018-10-09,1.0,5,gap
1418,twse,2018-11-15,2018-10-19,0.974,18,gap
1418,twse,2018-11-29,2018-11-16,0.878,8,gap
1418,twse,2018-12-17,2018-12-04,0.9531,8,gap
1418,twse,2019-01-28,2019-01-16,0.9758,7,gap
1418,twse,2019-06-06,2019-05-27,0.9669,7,gap
1418,twse,2019-08-15,2019-08-06,0.9868,5,gap
1418,twse,2019-09-09,2019-08-28,1.0,7,gap
1418,twse,2019-10-15,2019-09-26,0.9574,9,gap
1418,twse,2020-02-26,2020-02-18,1.0,5,gap
1418,twse,2020-04-07,2020-03-26,0.931,5,gap
1418,twse,2020-06-10,2020-05-29,0.9983,7,gap
1418,twse,2021-03-11,2021-03-03,1.0028,5,gap
1418,twse,2021-03-26,2021-03-18,0.963,5,gap
1435,twse,2023-03-20,2022-08-17,0.9005,139,gap
1435,twse,2023-09-14,2023-04-07,1.0989,109,gap
1435,twse,2024-12-12,2024-12-04,1.0,5,gap
1435,twse,2026-06-18,2026-04-28,1.0973,35,gap
1456,twse,2015-07-14,2015-06-30,0.9275,8,gap
1456,twse,2015-08-17,2015-08-05,0.9754,7,gap
1456,twse,2015-10-07,2015-09-17,0.9009,11,gap
1469,twse,2015-11-13,2015-11-05,0.9921,5,gap
1469,twse,2016-06-15,2016-06-02,1.0,7,gap
1469,twse,2016-07-25,2016-07-13,0.9886,7,gap
1469,twse,2016-11-09,2016-11-01,1.011,5,gap
1469,twse,2017-02-06,2017-01-18,1.0,6,gap
1469,twse,2017-04-25,2017-04-14,0.9928,6,gap
1469,twse,2017-05-19,2017-05-05,1.0,9,gap
1469,twse,2017-06-01,2017-05-22,0.9821,5,gap
1469,twse,2017-06-21,2017-06-12,1.0072,6,gap
1469,twse,2017-09-13,2017-09-05,0.9928,5,gap
1469,twse,2017-11-13,2017-10-31,1.0,8,gap
1469,twse,2017-12-26,2017-12-11,0.9965,10,gap
1470,twse,2015-12-09,2015-12-01,1.0276,5,gap
1470,twse,2018-05-09,2018-04-30,1.0082,5,gap
1470,twse,2018-05-31,2018-05-21,1.0492,7,gap
1470,twse,2018-12-22,2018-12-14,1.0193,5,gap
1470,twse,2019-06-19,2019-06-11,0.9956,5,gap
1470,twse,2019-07-17,2019-07-04,1.0431,8,gap
1470,twse,2020-03-03,2020-02-21,0.9879,5,gap
1472,twse,2022-03-23,2022-03-09,1.0,9,gap
1472,twse,2022-04-11,2022-03-30,0.8996,5,gap
1472,twse,2022-05-09,2022-04-28,0.986,5,gap
1475,twse,2019-09-18,2019-09-09,1.0088,5,gap
1475,twse,2019-10-24,2019-10-16,0.9831,5,gap
1538,twse,2022-06-23,2022-06-14,0.9353,6,gap
1538,twse,2026-08-13,2026-07-30,0.902,9,gap
1538,twse,2026-09-07,2026-08-24,1.0045,9,gap
1591,tpex,2026-07-22,2026-06-10,1.0995,27,gap
1603,twse,2019-08-19,2019-04-03,1.0048,92,gap
