date,new_semantics,n_rows,n_notrade,n_notrade_twse,n_notrade_tpex,n_notrade_emerging
2015-01-05,1,1595,26,8,18,0
2015-01-06,1,1596,24,11,13,0
2015-01-07,1,1596,23,7,16,0
2015-01-08,1,1596,25,9,16,0
2015-01-09,1,1595,20,9,11,0
2015-01-12,1,1595,17,6,11,0
2015-01-13,1,1595,19,8,11,0
2015-01-14,1,1595,26,8,18,0
2015-01-15,1,1595,26,8,18,0
2015-01-16,1,1594,27,8,19,0
2015-01-19,1,1593,27,11,16,0
2015-01-20,1,1595,26,6,20,0
2015-01-21,1,1595,23,9,14,0
2015-01-22,1,1595,22,6,16,0
2015-01-23,1,1596,25,8,17,0
2015-01-26,1,1598,31,8,23,0
2015-01-27,1,1599,26,8,18,0
2015-01-28,1,1599,28,13,15,0
2015-01-29,1,1598,20,7,13,0
2015-01-30,1,1599,27,13,14,0
2015-02-02,1,1599,36,13,23,0
2015-02-03,1,1599,26,10,16,0
2015-02-04,1,1599,22,8,14,0
2015-02-05,1,1599,24,9,15,0
2015-02-06,1,1599,28,10,18,0
2015-02-09,1,1599,28,9,19,0
2015-02-10,1,1600,24,8,16,0
2015-02-11,1,1600,24,12,12,0
2015-02-12,1,1600,33,15,18,0
2015-02-13,1,1600,22,6,16,0
2015-02-24,1,1600,21,6,15,0
2015-02-25,1,1599,20,7,13,0
2015-02-26,1,1598,26,8,18,0
2015-03-02,1,1598,29,9,20,0
2015-03-03,1,1598,25,8,17,0
2015-03-04,1,1598,32,13,19,0
2015-03-05,1,1598,22,10,12,0
2015-03-06,1,1597,21,7,14,0
2015-03-09,1,1597,21,7,14,0
2015-03-10,1,1597,21,11,10,0
2015-03-11,1,1597,16,6,10,0
2015-03-12,1,1597,21,9,12,0
2015-03-13,1,1598,17,9,8,0
2015-03-16,1,1597,19,9,10,0
2015-03-17,1,1597,22,9,13,0
2015-03-18,1,1598,19,7,12,0
2015-03-19,1,1598,14,2,12,0
2015-03-20,1,1600,22,10,12,0
2015-03-23,1,1602,23,8,15,0
2015-03-24,1,1603,19,7,12,0
