stock_id,asof
1101,20260909
1102,20260909
1103,20260909
1104,20260909
1108,20260909
1109,20260909
1110,20260909
1201,20260909
1203,20260909
1210,20260909
1213,20260909
1215,20260909
1216,20260909
1217,20260909
1218,20260909
1219,20260909
1220,20260909
1225,20260909
1227,20260909
1229,20260909
1231,20260909
1232,20260909
1233,20260909
1234,20260909
1235,20260909
1236,20260909
1256,20260909
1301,20260909
1303,20260909
1304,20260909
1305,20260909
1307,20260909
1308,20260909
1309,20260909
1310,20260909
1312,20260909
1313,20260909
1314,20260909
1315,20260909
1316,20260909
1319,20260909
1321,20260909
1323,20260909
1324,20260909
1325,20260909
1326,20260909
1337,20260909
1338,20260909
1339,20260909
1340,20260909
1341,20260909
1342,20260909
1402,20260909
1409,20260909
1410,20260909
1413,20260909
1414,20260909
1416,20260909
1417,20260909
1418,20260909
1419,20260909
1423,20260909
1432,20260909
1434,20260909
1435,20260909
1436,20260909
1437,20260909
1438,20260909
1439,20260909
1440,20260909
1441,20260909
1442,20260909
1443,20260909
1444,20260909
1445,20260909
1446,20260909
1447,20260909
1449,20260909
1451,20260909
1452,20260909
1453,20260909
1454,20260909
1455,20260909
1456,20260909
1457,20260909
1459,20260909
1460,20260909
1463,20260909
1464,20260909
1465,20260909
1466,20260909
1467,20260909
1468,20260909
1470,20260909
1471,20260909
1472,20260909
1473,20260909
1474,20260909
1475,20260909
1476,20260909
1477,20260909
1503,20260909
1504,20260909
1506,20260909
1512,20260909
1513,20260909
1514,20260909
1515,20260909
1516,20260909
1517,20260909
1519,20260909
1521,20260909
1522,20260909
1524,20260909
1525,20260909
1526,20260909
1527,20260909
1528,20260909
1529,20260909
1530,20260909
1531,20260909
1532,20260909
1533,20260909
1535,20260909
1536,20260909
1537,20260909
1538,20260909
1539,20260909
1540,20260909
1541,20260909
1558,20260909
1560,20260909
1563,20260909
1568,20260909
1582,20260909
1583,20260909
1587,20260909
1589,20260909
1590,20260909
1597,20260909
1598,20260909
1603,20260909
1604,20260909
1605,20260909
1608,20260909
1609,20260909
1611,20260909
1612,20260909
1614,20260909
1615,20260909
1616,20260909
1617,20260909
1618,20260909
1626,20260909
1702,20260909
1707,20260909
1708,20260909
1709,20260909
1710,20260909
1711,20260909
1712,20260909
1713,20260909
1714,20260909
1717,20260909
