stock_id,dataset
1240,TaiwanStockCapitalReductionReferencePrice
1240,TaiwanStockDividendResult
1258,TaiwanStockCapitalReductionReferencePrice
1258,TaiwanStockDividendResult
1259,TaiwanStockCapitalReductionReferencePrice
1259,TaiwanStockDividendResult
1264,TaiwanStockCapitalReductionReferencePrice
1264,TaiwanStockDividendResult
1268,TaiwanStockCapitalReductionReferencePrice
1268,TaiwanStockDividendResult
1294,TaiwanStockCapitalReductionReferencePrice
1294,TaiwanStockDividendResult
1295,TaiwanStockCapitalReductionReferencePrice
1295,TaiwanStockDividendResult
1333,TaiwanStockCapitalReductionReferencePrice
1333,TaiwanStockDividendResult
1336,TaiwanStockCapitalReductionReferencePrice
1336,TaiwanStockDividendResult
1565,TaiwanStockCapitalReductionReferencePrice
1565,TaiwanStockDividendResult
1566,TaiwanStockCapitalReductionReferencePrice
1566,TaiwanStockDividendResult
1569,TaiwanStockCapitalReductionReferencePrice
1569,TaiwanStockDividendResult
1570,TaiwanStockCapitalReductionReferencePrice
1570,TaiwanStockDividendResult
1580,TaiwanStockCapitalReductionReferencePrice
1580,TaiwanStockDividendResult
1584,TaiwanStockCapitalReductionReferencePrice
1584,TaiwanStockDividendResult
1586,TaiwanStockCapitalReductionReferencePrice
1586,TaiwanStockDividendResult
1591,TaiwanStockCapitalReductionReferencePrice
1591,TaiwanStockDividendResult
1593,TaiwanStockCapitalReductionReferencePrice
1593,TaiwanStockDividendResult
1595,TaiwanStockCapitalReductionReferencePrice
1595,TaiwanStockDividendResult
1599,TaiwanStockCapitalReductionReferencePrice
1599,TaiwanStockDividendResult
1742,TaiwanStockCapitalReductionReferencePrice
1742,TaiwanStockDividendResult
1777,TaiwanStockCapitalReductionReferencePrice
1777,TaiwanStockDividendResult
1780,TaiwanStockCapitalReductionReferencePrice
1780,TaiwanStockDividendResult
1781,TaiwanStockCapitalReductionReferencePrice
1781,TaiwanStockDividendResult
1784,TaiwanStockCapitalReductionReferencePrice
1784,TaiwanStockDividendResult
1785,TaiwanStockCapitalReductionReferencePrice
1785,TaiwanStockDividendResult
1787,TaiwanStockCapitalReductionReferencePrice
1787,TaiwanStockDividendResult
1788,TaiwanStockCapitalReductionReferencePrice
1788,TaiwanStockDividendResult
1796,TaiwanStockCapitalReductionReferencePrice
1796,TaiwanStockDividendResult
1799,TaiwanStockCapitalReductionReferencePrice
1799,TaiwanStockDividendResult
1813,TaiwanStockCapitalReductionReferencePrice
1813,TaiwanStockDividendResult
1815,TaiwanStockCapitalReductionReferencePrice
1815,TaiwanStockDividendResult
2035,TaiwanStockCapitalReductionReferencePrice
2035,TaiwanStockDividendResult
2061,TaiwanStockCapitalReductionReferencePrice
2061,TaiwanStockDividendResult
2063,TaiwanStockCapitalReductionReferencePrice
2063,TaiwanStockDividendResult
2064,TaiwanStockCapitalReductionReferencePrice
2064,TaiwanStockDividendResult
2065,TaiwanStockCapitalReductionReferencePrice
2065,TaiwanStockDividendResult
2066,TaiwanStockCapitalReductionReferencePrice
2066,TaiwanStockDividendResult
2067,TaiwanStockCapitalReductionReferencePrice
2067,TaiwanStockDividendResult
2070,TaiwanStockCapitalReductionReferencePrice
2070,TaiwanStockDividendResult
2073,TaiwanStockCapitalReductionReferencePrice
2073,TaiwanStockDividendResult
2221,TaiwanStockCapitalReductionReferencePrice
2221,TaiwanStockDividendResult
2230,TaiwanStockCapitalReductionReferencePrice
2230,TaiwanStockDividendResult
2235,TaiwanStockCapitalReductionReferencePrice
2235,TaiwanStockDividendResult
2596,TaiwanStockCapitalReductionReferencePrice
2596,TaiwanStockDividendResult
2640,TaiwanStockCapitalReductionReferencePrice
2640,TaiwanStockDividendResult
2641,TaiwanStockCapitalReductionReferencePrice
2641,TaiwanStockDividendResult
2643,TaiwanStockCapitalReductionReferencePrice
2643,TaiwanStockDividendResult
2718,TaiwanStockCapitalReductionReferencePrice
2718,TaiwanStockDividendResult
2719,TaiwanStockCapitalReductionReferencePrice
2719,TaiwanStockDividendResult
2724,TaiwanStockCapitalReductionReferencePrice
2724,TaiwanStockDividendResult
2726,TaiwanStockCapitalReductionReferencePrice
2726,TaiwanStockDividendResult
2729,TaiwanStockCapitalReductionReferencePrice
2729,TaiwanStockDividendResult
2732,TaiwanStockCapitalReductionReferencePrice
2732,TaiwanStockDividendResult
2734,TaiwanStockCapitalReductionReferencePrice
2734,TaiwanStockDividendResult
2736,TaiwanStockCapitalReductionReferencePrice
2736,TaiwanStockDividendResult
2740,TaiwanStockCapitalReductionReferencePrice
2740,TaiwanStockDividendResult
2743,TaiwanStockCapitalReductionReferencePrice
2743,TaiwanStockDividendResult
2745,TaiwanStockCapitalReductionReferencePrice
2745,TaiwanStockDividendResult
2751,TaiwanStockCapitalReductionReferencePrice
2751,TaiwanStockDividendResult
2752,TaiwanStockCapitalReductionReferencePrice
2752,TaiwanStockDividendResult
2754,TaiwanStockCapitalReductionReferencePrice
2754,TaiwanStockDividendResult
2755,TaiwanStockCapitalReductionReferencePrice
2755,TaiwanStockDividendResult
2756,TaiwanStockCapitalReductionReferencePrice
2756,TaiwanStockDividendResult
2916,TaiwanStockCapitalReductionReferencePrice
2916,TaiwanStockDividendResult
2924,TaiwanStockCapitalReductionReferencePrice
2924,TaiwanStockDividendResult
2926,TaiwanStockCapitalReductionReferencePrice
2926,TaiwanStockDividendResult
2928,TaiwanStockCapitalReductionReferencePrice
2928,TaiwanStockDividendResult
2937,TaiwanStockCapitalReductionReferencePrice
2937,TaiwanStockDividendResult
2941,TaiwanStockCapitalReductionReferencePrice
2941,TaiwanStockDividendResult
2947,TaiwanStockCapitalReductionReferencePrice
2947,TaiwanStockDividendResult
2948,TaiwanStockCapitalReductionReferencePrice
2948,TaiwanStockDividendResult
2949,TaiwanStockCapitalReductionReferencePrice
2949,TaiwanStockDividendResult
3064,TaiwanStockCapitalReductionReferencePrice
3064,TaiwanStockDividendResult
3066,TaiwanStockCapitalReductionReferencePrice
3066,TaiwanStockDividendResult
3067,TaiwanStockCapitalReductionReferencePrice
3067,TaiwanStockDividendResult
3068,TaiwanStockCapitalReductionReferencePrice
3068,TaiwanStockDividendResult
3071,TaiwanStockCapitalReductionReferencePrice
3071,TaiwanStockDividendResult
3073,TaiwanStockCapitalReductionReferencePrice
3073,TaiwanStockDividendResult
3078,TaiwanStockCapitalReductionReferencePrice
3078,TaiwanStockDividendResult
3081,TaiwanStockCapitalReductionReferencePrice
3081,TaiwanStockDividendResult
3083,TaiwanStockCapitalReductionReferencePrice
3083,TaiwanStockDividendResult
3085,TaiwanStockCapitalReductionReferencePrice
3085,TaiwanStockDividendResult
3086,TaiwanStockCapitalReductionReferencePrice
3086,TaiwanStockDividendResult
3088,TaiwanStockCapitalReductionReferencePrice
3088,TaiwanStockDividendResult
3089,TaiwanStockCapitalReductionReferencePrice
3089,TaiwanStockDividendResult
3093,TaiwanStockCapitalReductionReferencePrice
3093,TaiwanStockDividendResult
3095,TaiwanStockCapitalReductionReferencePrice
3095,TaiwanStockDividendResult
3105,TaiwanStockCapitalReductionReferencePrice
3105,TaiwanStockDividendResult
3114,TaiwanStockCapitalReductionReferencePrice
3114,TaiwanStockDividendResult
3115,TaiwanStockCapitalReductionReferencePrice
3115,TaiwanStockDividendResult
3118,TaiwanStockCapitalReductionReferencePrice
3118,TaiwanStockDividendResult
3122,TaiwanStockCapitalReductionReferencePrice
3122,TaiwanStockDividendResult
3126,TaiwanStockCapitalReductionReferencePrice
3126,TaiwanStockDividendResult
3128,TaiwanStockCapitalReductionReferencePrice
3128,TaiwanStockDividendResult
3131,TaiwanStockCapitalReductionReferencePrice
3131,TaiwanStockDividendResult
3141,TaiwanStockCapitalReductionReferencePrice
3141,TaiwanStockDividendResult
3144,TaiwanStockCapitalReductionReferencePrice
3144,TaiwanStockDividendResult
3147,TaiwanStockCapitalReductionReferencePrice
3147,TaiwanStockDividendResult
3152,TaiwanStockCapitalReductionReferencePrice
3152,TaiwanStockDividendResult
3158,TaiwanStockCapitalReductionReferencePrice
3158,TaiwanStockDividendResult
3162,TaiwanStockCapitalReductionReferencePrice
3162,TaiwanStockDividendResult
3163,TaiwanStockCapitalReductionReferencePrice
3163,TaiwanStockDividendResult
3169,TaiwanStockCapitalReductionReferencePrice
3169,TaiwanStockDividendResult
3171,TaiwanStockCapitalReductionReferencePrice
3171,TaiwanStockDividendResult
3176,TaiwanStockCapitalReductionReferencePrice
3176,TaiwanStockDividendResult
3178,TaiwanStockCapitalReductionReferencePrice
3178,TaiwanStockDividendResult
3188,TaiwanStockCapitalReductionReferencePrice
3188,TaiwanStockDividendResult
3191,TaiwanStockCapitalReductionReferencePrice
3191,TaiwanStockDividendResult
3202,TaiwanStockCapitalReductionReferencePrice
3202,TaiwanStockDividendResult
3205,TaiwanStockCapitalReductionReferencePrice
3205,TaiwanStockDividendResult
3206,TaiwanStockCapitalReductionReferencePrice
3206,TaiwanStockDividendResult
3207,TaiwanStockCapitalReductionReferencePrice
3207,TaiwanStockDividendResult
3211,TaiwanStockCapitalReductionReferencePrice
3211,TaiwanStockDividendResult
3213,TaiwanStockCapitalReductionReferencePrice
3213,TaiwanStockDividendResult
3217,TaiwanStockCapitalReductionReferencePrice
3217,TaiwanStockDividendResult
3218,TaiwanStockCapitalReductionReferencePrice
3218,TaiwanStockDividendResult
3219,TaiwanStockCapitalReductionReferencePrice
3219,TaiwanStockDividendResult
3221,TaiwanStockCapitalReductionReferencePrice
3221,TaiwanStockDividendResult
3224,TaiwanStockCapitalReductionReferencePrice
3224,TaiwanStockDividendResult
3226,TaiwanStockCapitalReductionReferencePrice
3226,TaiwanStockDividendResult
3227,TaiwanStockCapitalReductionReferencePrice
3227,TaiwanStockDividendResult
3228,TaiwanStockCapitalReductionReferencePrice
3228,TaiwanStockDividendResult
3230,TaiwanStockCapitalReductionReferencePrice
3230,TaiwanStockDividendResult
3232,TaiwanStockCapitalReductionReferencePrice
3232,TaiwanStockDividendResult
3234,TaiwanStockCapitalReductionReferencePrice
3234,TaiwanStockDividendResult
3236,TaiwanStockCapitalReductionReferencePrice
3236,TaiwanStockDividendResult
3252,TaiwanStockCapitalReductionReferencePrice
3252,TaiwanStockDividendResult
3259,TaiwanStockCapitalReductionReferencePrice
3259,TaiwanStockDividendResult
3260,TaiwanStockCapitalReductionReferencePrice
3260,TaiwanStockDividendResult
3264,TaiwanStockCapitalReductionReferencePrice
3264,TaiwanStockDividendResult
3265,TaiwanStockCapitalReductionReferencePrice
3265,TaiwanStockDividendResult
3268,TaiwanStockCapitalReductionReferencePrice
3268,TaiwanStockDividendResult
3272,TaiwanStockCapitalReductionReferencePrice
3272,TaiwanStockDividendResult
3276,TaiwanStockCapitalReductionReferencePrice
3276,TaiwanStockDividendResult
3284,TaiwanStockCapitalReductionReferencePrice
3284,TaiwanStockDividendResult
3285,TaiwanStockCapitalReductionReferencePrice
3285,TaiwanStockDividendResult
3287,TaiwanStockCapitalReductionReferencePrice
3287,TaiwanStockDividendResult
3288,TaiwanStockCapitalReductionReferencePrice
3288,TaiwanStockDividendResult
3289,TaiwanStockCapitalReductionReferencePrice
3289,TaiwanStockDividendResult
3290,TaiwanStockCapitalReductionReferencePrice
3290,TaiwanStockDividendResult
3291,TaiwanStockCapitalReductionReferencePrice
3291,TaiwanStockDividendResult
3293,TaiwanStockCapitalReductionReferencePrice
3293,TaiwanStockDividendResult
3294,TaiwanStockCapitalReductionReferencePrice
3294,TaiwanStockDividendResult
3297,TaiwanStockCapitalReductionReferencePrice
3297,TaiwanStockDividendResult
3299,TaiwanStockCapitalReductionReferencePrice
3299,TaiwanStockDividendResult
3303,TaiwanStockCapitalReductionReferencePrice
3303,TaiwanStockDividendResult
3306,TaiwanStockCapitalReductionReferencePrice
3306,TaiwanStockDividendResult
3310,TaiwanStockCapitalReductionReferencePrice
3310,TaiwanStockDividendResult
3313,TaiwanStockCapitalReductionReferencePrice
3313,TaiwanStockDividendResult
3317,TaiwanStockCapitalReductionReferencePrice
3317,TaiwanStockDividendResult
3322,TaiwanStockCapitalReductionReferencePrice
3322,TaiwanStockDividendResult
3323,TaiwanStockCapitalReductionReferencePrice
3323,TaiwanStockDividendResult
3324,TaiwanStockCapitalReductionReferencePrice
3324,TaiwanStockDividendResult
3325,TaiwanStockCapitalReductionReferencePrice
3325,TaiwanStockDividendResult
3332,TaiwanStockCapitalReductionReferencePrice
3332,TaiwanStockDividendResult
3339,TaiwanStockCapitalReductionReferencePrice
3339,TaiwanStockDividendResult
3349,TaiwanStockCapitalReductionReferencePrice
3349,TaiwanStockDividendResult
3354,TaiwanStockCapitalReductionReferencePrice
3354,TaiwanStockDividendResult
3357,TaiwanStockCapitalReductionReferencePrice
3357,TaiwanStockDividendResult
3360,TaiwanStockCapitalReductionReferencePrice
3360,TaiwanStockDividendResult
3362,TaiwanStockCapitalReductionReferencePrice
