date,stock_id,name,market,sources,why
2015-01-05,3085,新零售,tpex,otcmargin,
2015-01-22,3040,遠見,twse,margin,
2015-02-09,8111,立碁,tpex,otcmargin,
2015-03-19,3536,誠創,twse,margin,
2015-03-19,6103,合邦,tpex,otcmargin,
2015-04-09,9929,秋雨,twse,margin,
2015-04-15,2434,統懋,twse,margin,
2015-04-27,4304,勝昱,tpex,otcmargin,
2015-05-07,4413,飛寶企業,tpex,otcmargin,
2015-08-21,6165,浪凡,twse,margin,
2015-08-27,3105,穩懋,tpex,otcmargin,
2015-09-01,4107,邦特,tpex,otcmargin,
2015-09-10,8261,富鼎,twse,margin,
2015-09-16,2323,中環,twse,margin,
2015-09-17,2375,凱美,twse,margin,
2015-09-18,3555,博士旺,tpex,otcmargin,
2015-09-22,5506,長鴻,tpex,otcmargin,
2015-09-24,3035,智原,twse,margin,
2015-10-01,3380,明泰,twse,margin,
2015-10-02,2492,華新科,twse,margin,
2015-10-05,6150,撼訊,tpex,otcmargin,
2015-10-06,1742,台蠟,tpex,otcmargin,
2015-10-07,3049,精金,twse,margin,
2015-10-20,5403,中菲,tpex,otcmargin,
2015-10-21,1905,華紙,twse,margin,
2015-10-21,2472,立隆電,twse,margin,
2015-10-21,6156,松上,tpex,otcmargin,
2015-10-23,3015,全漢,twse,margin,
2015-10-29,1109,信大,twse,margin,
2015-11-05,6194,育富,tpex,otcmargin,
2015-11-06,1527,鑽全,twse,margin,
2015-11-09,1416,廣豐,twse,margin,
2015-11-16,2374,佳能,twse,margin,
2015-11-16,3434,哲固,tpex,otcmargin,
2015-11-20,4502,健信,tpex,otcmargin,
2015-11-30,1603,華電,twse,margin,
2015-12-14,3545,敦泰,twse,margin,
2015-12-14,4306,炎洲,twse,margin,
2015-12-18,6172,互億,twse,margin,
2015-12-29,2017,官田鋼,twse,margin,
2015-12-30,3141,晶宏,tpex,otcmargin,
2015-12-30,6248,沛波,tpex,otcmargin,
2016-01-04,2387,精元,twse,margin,
2016-01-07,3623,富晶通,tpex,otcmargin,
2016-02-01,1456,怡華,twse,margin,
2016-02-23,6264,富裔,tpex,otcmargin,
2016-03-03,8107,大億金茂,tpex,otcmargin,
2016-03-15,2025,千興,twse,margin,
2016-03-18,5398,慕康生醫,tpex,otcmargin,
2016-07-04,6131,鈞泰,twse,margin,
2016-07-13,5906,台南-KY,twse,margin,
2016-07-15,8201,無敵,twse,margin,
2016-08-04,2429,銘旺科,twse,margin,
2016-08-12,2327,國巨*,twse,margin,
2016-08-16,2025,千興,twse,margin,
2016-08-25,5371,中光電,tpex,otcmargin,
2016-08-30,3708,上緯投控,twse,margin,
2016-08-31,3234,光環,tpex,otcmargin,
2016-09-09,2496,卓越,twse,margin,
2016-09-09,8070,長華*,twse,margin,
2016-09-13,5511,德昌,tpex,otcmargin,
2016-09-22,2492,華新科,twse,margin,
2016-09-22,3105,穩懋,tpex,otcmargin,
2016-09-26,2314,台揚,twse,margin,
2016-09-26,3055,蔚華科,twse,margin,
2016-09-26,8271,宇瞻,twse,margin,
2016-09-29,2107,厚生,twse,margin,
2016-09-29,2349,錸德,twse,margin,
2016-09-29,3555,博士旺,tpex,otcmargin,
2016-09-30,2387,精元,twse,margin,
2016-09-30,6276,安鈦克,tpex,otcmargin,
2016-10-06,2364,倫飛,twse,margin,
2016-10-06,2455,全新,twse,margin,
2016-10-06,2612,中航,twse,margin,
2016-10-06,3021,鴻名,twse,margin,
2016-10-06,3339,泰谷,tpex,otcmargin,
2016-10-06,5353,台林,tpex,otcmargin,
2016-10-07,3149,正達,twse,margin,
2016-10-13,1416,廣豐,twse,margin,
2016-10-13,1809,中釉,twse,margin,
2016-10-13,8913,全銓,tpex,otcmargin,
2016-10-14,1333,恩得利,tpex,otcmargin,
2016-10-14,6208,日揚,tpex,otcmargin,
2016-10-19,3310,佳穎,tpex,otcmargin,
2016-10-20,2478,大毅,twse,margin,
2016-10-20,6283,淳安,twse,margin,
2016-10-26,2501,國建,twse,margin,
2016-10-28,2358,廷鑫,twse,margin,
2016-10-28,6246,臺龍,tpex,otcmargin,
2016-11-02,6150,撼訊,tpex,otcmargin,
2016-11-02,8176,智捷,tpex,otcmargin,
2016-11-03,9911,櫻花,twse,margin,
2016-11-04,2028,威致,twse,margin,
2016-11-07,1584,精剛,tpex,otcmargin,
2016-11-09,3354,律勝,tpex,otcmargin,
2016-11-14,6228,全譜,tpex,otcmargin,
2016-11-16,2363,矽統,twse,margin,
2016-11-18,5259,奕智博,twse,margin,
2016-11-22,6240,松崗,tpex,otcmargin,
2016-11-23,4712,南璋,tpex,otcmargin,
2016-12-01,3557,嘉威,twse,margin,
2016-12-08,1325,恆大,twse,margin,
2016-12-08,1603,華電,twse,margin,
2016-12-30,1785,光洋科,tpex,otcmargin,
2017-01-06,6222,立軒,tpex,otcmargin,
2017-01-13,9928,中視,twse,margin,
2017-01-23,1316,上曜,twse,margin,
2017-03-23,1457,宜進,twse,margin,
2017-03-29,3086,華義*,tpex,otcmargin,
2017-04-24,5475,德宏,tpex,otcmargin,
2017-04-25,1441,大東,twse,margin,
2017-05-03,2609,陽明,twse,margin,
2017-08-17,2327,國巨*,twse,margin,
2017-08-25,2337,旺宏,twse,margin,
2017-08-29,3071,協禧,tpex,otcmargin,
2017-08-31,3709,鑫聯大投控,tpex,otcmargin,
2017-08-31,6219,富旺,tpex,otcmargin,
2017-09-04,2480,敦陽科,twse,margin,
2017-09-05,5511,德昌,tpex,otcmargin,
2017-09-06,2373,震旦行,twse,margin,
2017-09-07,2415,錩新,twse,margin,
2017-09-07,6192,巨路,twse,margin,
2017-09-07,8072,陞泰,twse,margin,
2017-09-14,6291,沛亨,tpex,otcmargin,
2017-09-15,8913,全銓,tpex,otcmargin,
2017-09-18,2492,華新科,twse,margin,
2017-09-18,6173,信昌電,tpex,otcmargin,
2017-09-21,3050,鈺德,twse,margin,
2017-09-22,2316,楠梓電,twse,margin,
2017-09-27,1785,光洋科,tpex,otcmargin,
2017-09-27,2107,厚生,twse,margin,
2017-09-27,6121,新普,tpex,otcmargin,
2017-09-27,8033,雷虎,twse,margin,
2017-09-29,2434,統懋,twse,margin,
2017-09-30,2387,精元,twse,margin,
2017-09-30,6197,佳必琪,twse,margin,
2017-10-03,3615,安可,tpex,otcmargin,
2017-10-05,2340,台亞,twse,margin,
2017-10-05,2342,茂矽,twse,margin,
2017-10-05,2477,美隆電,twse,margin,
2017-10-05,4303,信立,tpex,otcmargin,
2017-10-05,8107,大億金茂,tpex,otcmargin,
2017-10-06,1451,年興,twse,margin,
2017-10-11,4506,崇友,tpex,otcmargin,
2017-10-13,3557,嘉威,twse,margin,
2017-10-19,1416,廣豐,twse,margin,
2017-10-19,5353,台林,tpex,otcmargin,
2017-10-19,5525,順天,twse,margin,
2017-10-20,2465,麗臺,twse,margin,
2017-10-27,1109,信大,twse,margin,
2017-10-27,1472,三洋實業,twse,margin,
2017-10-27,3026,禾伸堂,twse,margin,
2017-10-27,3580,友威科,tpex,otcmargin,
2017-10-27,3664,安瑞-KY,tpex,otcmargin,
2017-10-30,5213,亞昕,tpex,otcmargin,
2017-11-03,3623,富晶通,tpex,otcmargin,
2017-11-03,8935,邦泰,tpex,otcmargin,
2017-11-06,3060,銘異,twse,margin,
2017-11-10,1475,業旺,twse,margin,
2017-11-10,3516,亞帝歐,tpex,otcmargin,
2017-11-13,3310,佳穎,tpex,otcmargin,
2017-11-17,5259,奕智博,twse,margin,
2017-11-24,1418,東華,twse,margin,
2017-11-24,2007,燁興,twse,margin,
2017-11-24,3071,協禧,tpex,otcmargin,
2017-11-24,3219,倚強科,tpex,otcmargin,
2017-12-08,3046,建碁,twse,margin,
2017-12-14,8091,翔名,tpex,otcmargin,
2017-12-28,3710,連展投控,tpex,otcmargin,
2017-12-29,5383,金利,tpex,otcmargin,
2018-01-08,2724,藝舍-KY,tpex,otcmargin,
2018-01-12,5381,光譜,tpex,otcmargin,
2018-01-19,1471,首利,twse,margin,
2018-03-09,3089,億杰,tpex,otcmargin,
2018-03-12,1742,台蠟,tpex,otcmargin,
2018-04-09,3312,弘憶股,twse,margin,
2018-04-27,3711,日月光投控,twse,margin,
2018-06-15,5906,台南-KY,twse,margin,
2018-07-20,2614,東森,twse,margin,
2018-07-27,2208,台船,twse,margin,
2018-08-21,2641,正德,tpex,otcmargin,
2018-08-24,2022,聚亨,twse,margin,
2018-08-24,8924,大田,tpex,otcmargin,
2018-08-31,3188,鑫龍騰,tpex,otcmargin,
2018-08-31,3523,迎輝,tpex,otcmargin,
2018-08-31,8101,華冠,twse,margin,
2018-09-03,5356,協益,tpex,otcmargin,
2018-09-06,4304,勝昱,tpex,otcmargin,
2018-09-07,2419,仲琦,twse,margin,
2018-09-10,1538,正峰,twse,margin,
2018-09-14,2349,錸德,twse,margin,
2018-09-14,3022,威強電,twse,margin,
2018-09-17,6486,互動,tpex,otcmargin,
2018-09-21,2436,偉詮電,twse,margin,
2018-09-21,3054,立萬利,twse,margin,
2018-09-21,3532,台勝科,twse,margin,
2018-09-21,3679,新至陞,twse,margin,
2018-09-21,4944,兆遠,tpex,otcmargin,
2018-09-21,5213,亞昕,tpex,otcmargin,
2018-09-21,6109,亞元,tpex,otcmargin,
2018-09-28,3702,大聯大,twse,margin,
2018-09-28,3712,永崴投控,twse,margin,
2018-09-28,6138,茂達,tpex,otcmargin,
2018-09-28,6148,驊宏資,tpex,otcmargin,
2018-09-28,6161,捷波,tpex,otcmargin,
2018-10-02,5309,系統電,tpex,otcmargin,
2018-10-05,9945,潤泰新,twse,margin,
2018-10-09,3310,佳穎,tpex,otcmargin,
2018-10-11,2456,奇力新,twse,margin,
2018-10-12,3498,陽程,tpex,otcmargin,
2018-10-19,1109,信大,twse,margin,
2018-10-19,2458,義隆,twse,margin,
2018-10-19,8021,尖點,twse,margin,
2018-10-25,2317,鴻海,twse,margin,
2018-10-25,8150,南茂,twse,margin,
2018-10-26,1423,利華,twse,margin,
2018-10-26,2915,潤泰全,twse,margin,
2018-10-26,3593,力銘,twse,margin,
2018-11-02,1582,信錦,twse,margin,
2018-11-02,2321,東訊,twse,margin,
2018-11-02,5520,力泰,tpex,otcmargin,
2018-11-08,4413,飛寶企業,tpex,otcmargin,
2018-11-09,3207,耀勝,tpex,otcmargin,
2018-11-30,2329,華泰,twse,margin,
2018-11-30,2387,精元,twse,margin,
2018-12-07,2404,漢唐,twse,margin,
2018-12-07,3452,益通,tpex,otcmargin,
2018-12-10,1604,聲寶,twse,margin,
2018-12-14,5481,新華,tpex,otcmargin,
2018-12-21,1529,樂事綠能,twse,margin,
2018-12-22,3219,倚強科,tpex,otcmargin,
2018-12-22,3288,點晶,tpex,otcmargin,
2018-12-28,2429,銘旺科,twse,margin,
2018-12-28,3056,富華新,twse,margin,
2018-12-28,3520,華盈,tpex,otcmargin,
2019-01-11,5317,凱美,tpex,otcmargin,
2019-01-11,8906,花王,tpex,otcmargin,
2019-02-15,6148,驊宏資,tpex,otcmargin,
2019-02-22,5608,四維航,twse,margin,
2019-03-08,6291,沛亨,tpex,otcmargin,
2019-03-20,6131,鈞泰,twse,margin,
2019-03-28,4109,加捷生醫,tpex,otcmargin,
2019-04-03,2025,千興,twse,margin,
