level,lower,upper_lo,upper_hi,exact,n
1,1,999,999,1,1079477
2,1000,5000,5002,0,1096402
3,5001,10000,10002,0,1081990
4,10001,15000,15000,1,1064243
5,15001,20000,20001,0,1056525
6,20001,30000,30000,1,1059809
7,30001,40000,40000,1,1039066
8,40001,50000,50000,1,1032155
9,50001,100000,100001,0,1054286
10,100001,200000,200089,0,1040966
11,200001,400000,400000,1,1023006
12,400001,600000,600000,1,960172
13,600001,800000,800001,0,864169
14,800001,1000000,1000001,0,798554
15,1000001,0,0,0,1130081
