stock_id,roc_year,asof
1101,104,20260916
1101,105,20260916
1101,106,20260916
1101,107,20260916
1101,108,20260916
1101,109,20260916
1101,110,20260916
1101,111,20260916
1101,112,20260916
1101,113,20260916
1101,114,20260916
1101,115,20260916
1102,104,20260916
1102,105,20260916
1102,106,20260916
1102,107,20260916
1102,108,20260916
1102,109,20260916
1102,110,20260916
1102,111,20260916
1102,112,20260916
1102,113,20260916
1102,114,20260916
1102,115,20260916
1103,104,20260916
1103,105,20260916
1103,106,20260916
1103,107,20260916
1103,108,20260916
1103,109,20260916
1103,110,20260916
1103,111,20260916
1103,112,20260916
1103,113,20260916
1103,114,20260916
1103,115,20260916
1104,104,20260916
1104,105,20260916
1104,106,20260916
1104,107,20260916
1104,108,20260916
1104,109,20260916
1104,110,20260916
1104,111,20260916
1104,112,20260916
1104,113,20260916
1104,114,20260916
1104,115,20260916
1108,104,20260916
1108,105,20260916
1108,106,20260916
1108,107,20260916
1108,108,20260916
1108,109,20260916
1108,110,20260916
1108,111,20260916
1108,112,20260916
1108,113,20260916
1108,114,20260916
1108,115,20260916
1109,104,20260916
1109,105,20260916
1109,106,20260916
1109,107,20260916
1109,108,20260916
1109,109,20260916
1109,110,20260916
1109,111,20260916
1109,112,20260916
1109,113,20260916
1109,114,20260916
1109,115,20260916
1110,104,20260916
1110,105,20260916
1110,106,20260916
1110,107,20260916
1110,108,20260916
1110,109,20260916
1110,110,20260916
1110,111,20260916
1110,112,20260916
1110,113,20260916
1110,114,20260916
1110,115,20260916
1201,104,20260916
1201,105,20260916
1201,106,20260916
1201,107,20260916
1201,108,20260916
1201,109,20260916
1201,110,20260916
1201,111,20260916
1201,112,20260916
1201,113,20260916
1201,114,20260916
1201,115,20260916
1203,104,20260916
1203,105,20260916
1203,106,20260916
1203,107,20260916
1203,108,20260916
1203,109,20260916
1203,110,20260916
1203,111,20260916
1203,112,20260916
1203,113,20260916
1203,114,20260916
1203,115,20260916
1210,104,20260916
1210,105,20260916
1210,106,20260916
1210,107,20260916
1210,108,20260916
1210,109,20260916
1210,110,20260916
1210,111,20260916
1210,112,20260916
1210,113,20260916
1210,114,20260916
1210,115,20260916
1213,104,20260916
1213,105,20260916
1213,106,20260916
1213,107,20260916
1213,108,20260916
1213,109,20260916
1213,110,20260916
1213,111,20260916
1213,112,20260916
1213,113,20260916
1213,114,20260916
1213,115,20260916
1215,104,20260916
1215,105,20260916
1215,106,20260916
1215,107,20260916
1215,108,20260916
1215,109,20260916
1215,110,20260916
1215,111,20260916
1215,112,20260916
1215,113,20260916
1215,114,20260916
1215,115,20260916
1216,104,20260916
1216,105,20260916
1216,106,20260916
1216,107,20260916
1216,108,20260916
1216,109,20260916
1216,110,20260916
1216,111,20260916
1216,112,20260916
1216,113,20260916
1216,114,20260916
1216,115,20260916
1217,104,20260916
1217,105,20260916
1217,106,20260916
1217,107,20260916
1217,108,20260916
1217,109,20260916
1217,110,20260916
1217,111,20260916
1217,112,20260916
1217,113,20260916
1217,114,20260916
1217,115,20260916
1218,104,20260916
1218,105,20260916
1218,106,20260916
1218,107,20260916
1218,108,20260916
1218,109,20260916
1218,110,20260916
1218,111,20260916
1218,112,20260916
1218,113,20260916
1218,114,20260916
1218,115,20260916
1219,104,20260916
1219,105,20260916
1219,106,20260916
1219,107,20260916
1219,108,20260916
1219,109,20260916
1219,110,20260916
1219,111,20260916
1219,112,20260916
1219,113,20260916
1219,114,20260916
1219,115,20260916
1220,104,20260916
1220,105,20260916
1220,106,20260916
1220,107,20260916
1220,108,20260916
1220,109,20260916
1220,110,20260916
1220,111,20260916
1220,112,20260916
1220,113,20260916
1220,114,20260916
1220,115,20260916
1225,104,20260916
1225,105,20260916
1225,106,20260916
1225,107,20260916
1225,108,20260916
1225,109,20260916
1225,110,20260916
1225,111,20260916
1225,112,20260916
1225,113,20260916
1225,114,20260916
1225,115,20260916
1227,104,20260916
1227,105,20260916
1227,106,20260916
1227,107,20260916
1227,108,20260916
1227,109,20260916
1227,110,20260916
1227,111,20260916
1227,112,20260916
1227,113,20260916
1227,114,20260916
1227,115,20260916
1229,104,20260916
1229,105,20260916
1229,106,20260916
1229,107,20260916
1229,108,20260916
1229,109,20260916
1229,110,20260916
1229,111,20260916
1229,112,20260916
1229,113,20260916
1229,114,20260916
1229,115,20260916
1231,104,20260916
1231,105,20260916
1231,106,20260916
1231,107,20260916
1231,108,20260916
1231,109,20260916
1231,110,20260916
1231,111,20260916
1231,112,20260916
1231,113,20260916
1231,114,20260916
1231,115,20260916
1232,104,20260916
1232,105,20260916
1232,106,20260916
1232,107,20260916
1232,108,20260916
1232,109,20260916
1232,110,20260916
1232,111,20260916
1232,112,20260916
1232,113,20260916
1232,114,20260916
1232,115,20260916
1233,104,20260916
1233,105,20260916
1233,106,20260916
1233,107,20260916
1233,108,20260916
1233,109,20260916
1233,110,20260916
1233,111,20260916
1233,112,20260916
1233,113,20260916
1233,114,20260916
1233,115,20260916
1234,104,20260916
1234,105,20260916
1234,106,20260916
1234,107,20260916
1234,108,20260916
1234,109,20260916
1234,110,20260916
1234,111,20260916
1234,112,20260916
1234,113,20260916
1234,114,20260916
1234,115,20260916
1235,104,20260916
1235,105,20260916
1235,106,20260916
1235,107,20260916
1235,108,20260916
1235,109,20260916
1235,110,20260916
1235,111,20260916
1235,112,20260916
1235,113,20260916
1235,114,20260916
1235,115,20260916
1236,104,20260916
1236,105,20260916
1236,106,20260916
1236,107,20260916
1236,108,20260916
1236,109,20260916
1236,110,20260916
1236,111,20260916
1236,112,20260916
1236,113,20260916
1236,114,20260916
1236,115,20260916
1256,105,20260916
1256,106,20260916
1256,107,20260916
1256,108,20260916
1256,109,20260916
1256,110,20260916
1256,111,20260916
1256,112,20260916
1256,113,20260916
1256,114,20260916
1256,115,20260916
1262,104,20260916
1262,105,20260916
1262,106,20260916
1262,107,20260916
1262,108,20260916
1301,104,20260916
1301,105,20260916
1301,106,20260916
1301,107,20260916
1301,108,20260916
1301,109,20260916
1301,110,20260916
1301,111,20260916
