stock_id,asof
1240,20260916
1258,20260916
1259,20260916
1264,20260916
1268,20260916
1294,20260916
1295,20260916
1333,20260916
1336,20260916
1565,20260916
1566,20260916
1569,20260916
1570,20260916
1580,20260916
1584,20260916
1586,20260916
1591,20260916
1593,20260916
1595,20260916
1599,20260916
1742,20260916
1777,20260916
1780,20260916
1781,20260916
1784,20260916
1785,20260916
1787,20260916
1788,20260916
1796,20260916
1799,20260916
1813,20260916
1815,20260916
2035,20260916
2061,20260916
2063,20260916
2064,20260916
2065,20260916
2066,20260916
2067,20260916
2070,20260916
2073,20260916
2221,20260916
2230,20260916
2235,20260916
2596,20260916
2640,20260916
2641,20260916
2643,20260916
2718,20260916
2719,20260916
2724,20260916
2726,20260916
2729,20260916
2732,20260916
2734,20260916
2736,20260916
2740,20260916
2743,20260916
2745,20260916
2751,20260916
2752,20260916
2754,20260916
2755,20260916
2756,20260916
2916,20260916
2924,20260916
2926,20260916
2928,20260916
2937,20260916
2941,20260916
2947,20260916
2948,20260916
2949,20260916
3064,20260916
3066,20260916
3067,20260916
3068,20260916
3071,20260916
3073,20260916
3078,20260916
3081,20260916
3083,20260916
3085,20260916
3086,20260916
3088,20260916
3089,20260916
3093,20260916
3095,20260916
3105,20260916
3114,20260916
3115,20260916
3118,20260916
3122,20260916
3126,20260916
3128,20260916
3131,20260916
3141,20260916
3144,20260916
3147,20260916
3152,20260916
3158,20260916
3162,20260916
3163,20260916
3169,20260916
3171,20260916
3176,20260916
3178,20260916
3188,20260916
3191,20260916
3202,20260916
3205,20260916
3206,20260916
3207,20260916
3211,20260916
3213,20260916
3217,20260916
3218,20260916
3219,20260916
3221,20260916
3224,20260916
3226,20260916
3227,20260916
3228,20260916
3230,20260916
3232,20260916
3234,20260916
3236,20260916
3252,20260916
3259,20260916
3260,20260916
3264,20260916
3265,20260916
3268,20260916
3272,20260916
3276,20260916
3284,20260916
3285,20260916
3287,20260916
3288,20260916
3289,20260916
3290,20260916
3291,20260916
3293,20260916
3294,20260916
3297,20260916
3299,20260916
3303,20260916
3306,20260916
3310,20260916
3313,20260916
3317,20260916
3322,20260916
3323,20260916
3324,20260916
3325,20260916
3332,20260916
3339,20260916
3349,20260916
3354,20260916
3357,20260916
3360,20260916
3362,20260916
3363,20260916
3372,20260916
3373,20260916
3374,20260916
3379,20260916
3388,20260916
3390,20260916
3402,20260916
3426,20260916
3428,20260916
3430,20260916
3431,20260916
3434,20260916
3438,20260916
3441,20260916
3444,20260916
3452,20260916
3455,20260916
3465,20260916
3466,20260916
3467,20260916
3479,20260916
3483,20260916
3484,20260916
3485,20260916
3489,20260916
3490,20260916
3491,20260916
3492,20260916
3498,20260916
3499,20260916
3508,20260916
3511,20260916
3512,20260916
3516,20260916
3520,20260916
3521,20260916
3522,20260916
3523,20260916
3526,20260916
