date,stock_id,close,yield_pct,dividend_year,per,pbr,fs_quarter
2015-01-05,2206,,0.00,,,1.80,
2015-01-06,2206,,0.00,,,1.77,
2015-01-07,2206,,0.00,,,1.77,
2015-01-08,2206,,0.00,,,1.77,
2015-01-09,2206,,0.00,,,1.76,
2015-01-12,2206,,0.00,,,1.79,
2015-01-13,2206,,0.00,,,1.77,
2015-01-14,2206,,0.00,,,1.77,
2015-01-15,2206,,0.00,,,1.76,
2015-01-16,2206,,0.00,,,1.73,
2015-01-19,2206,,0.00,,,1.72,
2015-01-20,2206,,0.00,,,1.73,
2015-01-21,2206,,0.00,,,1.73,
2015-01-22,2206,,0.00,,,1.73,
2015-01-23,2206,,0.00,,,1.73,
2015-01-26,2206,,0.00,,,1.72,
2015-01-27,2206,,0.00,,,1.72,
2015-01-28,2206,,0.00,,,1.73,
2015-01-29,2206,,0.00,,,1.76,
2015-01-30,2206,,0.00,,,1.76,
2015-02-02,2206,,0.00,,,1.75,
2015-02-03,2206,,0.00,,,1.74,
2015-02-04,2206,,0.00,,,1.75,
2015-02-05,2206,,0.00,,,1.74,
2015-02-06,2206,,0.00,,,1.74,
2015-02-09,2206,,0.00,,,1.73,
2015-02-10,2206,,0.00,,,1.73,
2015-02-11,2206,,0.00,,,1.72,
2015-02-12,2206,,0.00,,,1.72,
2015-02-13,2206,,0.00,,,1.72,
2015-02-24,2206,,0.00,,,1.72,
2015-02-25,2206,,0.00,,,1.75,
2015-02-26,2206,,0.00,,,1.78,
2015-03-02,2206,,0.00,,,1.76,
2015-03-03,2206,,0.00,,,1.75,
2015-03-04,2206,,0.00,,,1.74,
2015-03-05,2206,,0.00,,,1.73,
2015-03-06,2206,,0.00,,,1.74,
2015-03-09,2206,,0.00,,,1.74,
2015-03-10,2206,,0.00,,,1.73,
2015-03-11,2206,,0.00,,,1.73,
2015-03-12,2206,,0.00,,,1.72,
2015-03-13,2206,,0.00,,,1.73,
2015-03-16,2206,,0.00,,,1.72,
2015-03-17,2206,,0.00,,,1.72,
2015-03-18,2206,,0.00,,,1.72,
2015-03-19,2206,,0.00,,,1.71,
2015-03-20,2206,,0.00,,,1.72,
2015-03-23,2206,,0.00,,,1.72,
2015-03-24,2206,,0.00,,,1.72,
2015-03-25,2206,,0.00,,,1.70,
2015-03-26,2206,,0.00,,,1.71,
2015-03-27,2206,,0.00,,,1.71,
2015-03-30,2206,,0.00,,,1.68,
2015-03-31,2206,,0.00,,,1.65,
2015-04-01,2206,,0.00,,,1.67,
2015-04-02,2206,,0.00,,,1.68,
2015-04-07,2206,,0.00,,,1.72,
2015-04-08,2206,,0.00,,,1.70,
2015-04-09,2206,,0.00,,,1.71,
2015-04-10,2206,,0.00,,,1.74,
2015-04-13,2206,,0.00,,,1.79,
2015-04-14,2206,,0.00,,,1.77,
2015-04-15,2206,,0.00,,,1.74,
2015-04-16,2206,,0.00,,,1.76,
2015-04-17,2206,,0.00,,,1.72,
2015-04-20,2206,,0.00,,,1.72,
2015-04-21,2206,,0.00,,,1.70,
2015-04-22,2206,,0.00,,,1.70,
2015-04-23,2206,,0.00,,,1.70,
2015-04-24,2206,,0.00,,,1.71,
2015-04-27,2206,,0.00,,,1.70,
2015-04-28,2206,,0.00,,,1.70,
2015-04-29,2206,,0.00,,,1.71,
2015-04-30,2206,,0.00,,,1.71,
2015-05-04,2206,,0.00,,,1.71,
2015-05-05,2206,,0.00,,,1.69,
2015-05-06,2206,,0.00,,,1.69,
2015-05-07,2206,,0.00,,,1.69,
2015-05-08,2206,,0.00,,,1.67,
2015-05-11,2206,,0.00,,,1.64,
2015-05-12,2206,,0.00,,,1.65,
2015-05-13,2206,,0.00,,,1.65,
2015-05-14,2206,,0.00,,,1.62,
2015-05-15,2206,,0.00,,,1.62,
2015-05-18,2206,,0.00,,,1.62,
2015-05-19,2206,,0.00,,,1.63,
2015-05-20,2206,,0.00,,,1.64,
2015-05-21,2206,,0.00,,,1.64,
2015-05-22,2206,,0.00,,,1.63,
