date,stock_id,close,yield_pct,dividend_year,per,pbr,fs_quarter
2015-01-05,2330,,2.14,,15.82,3.78,
2015-01-06,2330,,2.24,,15.14,3.62,
2015-01-07,2330,,2.23,,15.19,3.63,
2015-01-08,2330,,2.17,,15.65,3.74,
2015-01-09,2330,,2.23,,15.19,3.63,
2015-01-12,2330,,2.27,,14.97,3.58,
2015-01-13,2330,,2.26,,15.02,3.59,
2015-01-14,2330,,2.30,,14.74,3.52,
2015-01-15,2330,,2.27,,14.91,3.56,
2015-01-16,2330,,2.18,,15.53,3.71,
2015-01-19,2330,,2.15,,15.76,3.77,
2015-01-20,2330,,2.17,,15.65,3.74,
2015-01-21,2330,,2.12,,15.99,3.82,
2015-01-22,2330,,2.14,,15.87,3.80,
2015-01-23,2330,,2.06,,16.44,3.93,
2015-01-26,2330,,2.06,,16.44,3.93,
2015-01-27,2330,,2.03,,16.67,3.98,
2015-01-28,2330,,2.04,,16.61,3.97,
2015-01-29,2330,,2.08,,16.27,3.89,
2015-01-30,2330,,2.12,,15.99,3.82,
2015-02-02,2330,,2.10,,16.16,3.86,
2015-02-03,2330,,2.07,,16.38,3.92,
2015-02-04,2330,,2.05,,16.55,3.96,
2015-02-05,2330,,2.05,,16.50,3.94,
2015-02-06,2330,,2.09,,16.21,3.88,
2015-02-09,2330,,2.11,,16.10,3.85,
2015-02-10,2330,,2.10,,16.16,3.86,
2015-02-11,2330,,2.02,,16.78,4.01,
2015-02-12,2330,,3.03,,16.84,4.03,
2015-02-13,2330,,3.03,,16.84,4.03,
2015-02-24,2330,,2.98,,17.12,3.75,
2015-02-25,2330,,2.91,,15.18,3.83,
2015-02-26,2330,,2.99,,14.78,3.73,
2015-03-02,2330,,3.02,,14.64,3.70,
2015-03-03,2330,,2.99,,14.78,3.73,
2015-03-04,2330,,2.99,,14.78,3.73,
2015-03-05,2330,,3.00,,14.73,3.72,
2015-03-06,2330,,3.02,,14.64,3.70,
2015-03-09,2330,,3.09,,14.29,3.61,
2015-03-10,2330,,3.13,,14.15,3.57,
2015-03-11,2330,,3.08,,14.34,3.62,
2015-03-12,2330,,3.04,,14.54,3.67,
2015-03-13,2330,,3.02,,14.64,3.70,
2015-03-16,2330,,3.08,,14.34,3.62,
2015-03-17,2330,,3.02,,14.64,3.70,
2015-03-18,2330,,2.93,,15.08,3.81,
2015-03-19,2330,,2.92,,15.13,3.82,
2015-03-20,2330,,2.92,,15.13,3.82,
2015-03-23,2330,,2.93,,15.08,3.81,
2015-03-24,2330,,2.97,,14.88,3.76,
2015-03-25,2330,,2.98,,14.83,3.75,
2015-03-26,2330,,3.09,,14.29,3.61,
2015-03-27,2330,,3.16,,14.00,3.53,
2015-03-30,2330,,3.16,,14.00,3.53,
2015-03-31,2330,,3.09,,14.29,3.61,
2015-04-01,2330,,3.13,,14.15,3.57,
2015-04-02,2330,,3.06,,14.44,3.65,
2015-04-07,2330,,3.08,,14.34,3.62,
2015-04-08,2330,,3.15,,14.05,3.55,
2015-04-09,2330,,3.15,,14.05,3.55,
2015-04-10,2330,,3.06,,14.44,3.65,
2015-04-13,2330,,3.06,,14.44,3.65,
2015-04-14,2330,,3.13,,14.15,3.57,
2015-04-15,2330,,3.15,,14.05,3.55,
2015-04-16,2330,,3.06,,14.44,3.65,
2015-04-17,2330,,3.16,,14.00,3.53,
2015-04-20,2330,,3.15,,14.05,3.55,
2015-04-21,2330,,3.16,,14.00,3.53,
2015-04-22,2330,,3.14,,14.10,3.56,
2015-04-23,2330,,3.06,,14.44,3.65,
2015-04-24,2330,,2.95,,14.98,3.78,
2015-04-27,2330,,2.97,,14.88,3.76,
2015-04-28,2330,,2.97,,14.88,3.76,
2015-04-29,2330,,3.03,,14.59,3.68,
2015-04-30,2330,,3.06,,14.44,3.65,
2015-05-04,2330,,3.05,,14.49,3.66,
2015-05-05,2330,,3.06,,14.44,3.65,
2015-05-06,2330,,3.05,,14.49,3.66,
2015-05-07,2330,,3.07,,14.39,3.63,
2015-05-08,2330,,3.07,,14.39,3.63,
2015-05-11,2330,,3.03,,14.59,3.68,
2015-05-12,2330,,3.05,,14.49,3.40,
2015-05-13,2330,,3.04,,13.01,3.41,
2015-05-14,2330,,3.08,,12.83,3.37,
2015-05-15,2330,,3.07,,12.87,3.38,
2015-05-18,2330,,3.07,,12.87,3.38,
2015-05-19,2330,,3.07,,12.87,3.38,
2015-05-20,2330,,3.07,,12.87,3.38,
2015-05-21,2330,,3.09,,12.79,3.36,
2015-05-22,2330,,3.09,,12.79,3.36,
2015-05-25,2330,,3.05,,12.96,3.40,
2015-05-26,2330,,3.07,,12.87,3.38,
2015-05-27,2330,,3.10,,12.74,3.35,
2015-05-28,2330,,3.06,,12.92,3.39,
2015-05-29,2330,,3.08,,12.83,3.37,
2015-06-01,2330,,3.10,,12.74,3.35,
2015-06-02,2330,,3.13,,12.65,3.32,
2015-06-03,2330,,3.15,,12.57,3.30,
2015-06-04,2330,,3.19,,12.39,3.25,
2015-06-05,2330,,3.21,,12.30,3.23,
2015-06-08,2330,,3.25,,12.17,3.20,
2015-06-09,2330,,3.24,,12.21,3.21,
2015-06-10,2330,,3.23,,12.26,3.22,
2015-06-11,2330,,3.14,,12.61,3.31,
2015-06-12,2330,,3.11,,12.70,3.33,
2015-06-15,2330,,3.15,,12.57,3.30,
2015-06-16,2330,,3.17,,12.48,3.28,
2015-06-17,2330,,3.16,,12.52,3.29,
2015-06-18,2330,,3.17,,12.48,3.28,
2015-06-22,2330,,3.17,,12.48,3.28,
2015-06-23,2330,,3.11,,12.70,3.33,
2015-06-24,2330,,3.10,,12.74,3.35,
2015-06-25,2330,,3.07,,12.87,3.38,
2015-06-26,2330,,3.08,,12.83,3.37,
2015-06-29,2330,,3.25,,12.17,3.20,
2015-06-30,2330,,3.20,,12.35,3.24,
2015-07-01,2330,,3.19,,12.39,3.25,
2015-07-02,2330,,3.18,,12.43,3.26,
2015-07-03,2330,,3.16,,12.52,3.29,
2015-07-06,2330,,3.20,,12.35,3.24,
2015-07-07,2330,,3.20,,12.35,3.24,
2015-07-08,2330,,3.26,,12.13,3.18,
2015-07-09,2330,,3.30,,11.99,3.15,
2015-07-13,2330,,3.25,,12.17,3.20,
2015-07-14,2330,,3.25,,12.17,3.20,
2015-07-15,2330,,3.25,,12.17,3.20,
2015-07-16,2330,,3.30,,11.99,3.15,
2015-07-17,2330,,3.21,,12.30,3.23,
2015-07-20,2330,,3.24,,12.21,3.21,
2015-07-21,2330,,3.20,,12.35,3.24,
2015-07-22,2330,,3.24,,12.21,3.21,
2015-07-23,2330,,3.31,,11.95,3.14,
2015-07-24,2330,,3.28,,12.04,3.16,
2015-07-27,2330,,3.36,,11.78,3.09,
2015-07-28,2330,,3.36,,11.78,3.09,
2015-07-29,2330,,3.32,,11.91,3.13,
2015-07-30,2330,,3.25,,12.17,3.20,
2015-07-31,2330,,3.23,,12.26,3.22,
2015-08-03,2330,,3.35,,11.82,3.10,
2015-08-04,2330,,3.30,,11.99,3.15,
2015-08-05,2330,,3.36,,11.78,3.09,
2015-08-06,2330,,3.36,,11.78,3.09,
2015-08-07,2330,,3.38,,11.69,3.07,
2015-08-10,2330,,3.49,,11.34,2.98,
2015-08-11,2330,,3.45,,11.47,3.01,
2015-08-12,2330,,3.50,,11.29,3.12,
2015-08-13,2330,,3.52,,10.54,3.11,
2015-08-14,2330,,3.57,,10.38,3.06,
2015-08-17,2330,,3.63,,10.21,3.01,
2015-08-18,2330,,3.57,,10.38,3.06,
2015-08-19,2330,,3.60,,10.30,3.04,
2015-08-20,2330,,3.57,,10.38,3.06,
2015-08-21,2330,,3.72,,9.97,2.94,
2015-08-24,2330,,3.91,,9.47,2.80,
2015-08-25,2330,,3.64,,10.17,3.00,
2015-08-26,2330,,3.67,,10.09,2.98,
2015-08-27,2330,,3.63,,10.21,3.01,
2015-08-28,2330,,3.60,,10.30,3.04,
2015-08-31,2330,,3.49,,10.63,3.14,
2015-09-01,2330,,3.63,,10.21,3.01,
2015-09-02,2330,,3.59,,10.34,3.05,
2015-09-03,2330,,3.54,,10.46,3.09,
2015-09-04,2330,,3.60,,10.30,3.04,
2015-09-07,2330,,3.67,,10.09,2.98,
2015-09-08,2330,,3.66,,10.13,2.99,
2015-09-09,2330,,3.49,,10.63,3.14,
2015-09-10,2330,,3.60,,10.30,3.04,
2015-09-11,2330,,3.53,,10.50,3.10,
2015-09-14,2330,,3.53,,10.50,3.10,
2015-09-15,2330,,3.57,,10.38,3.06,
2015-09-16,2330,,3.47,,10.67,3.15,
2015-09-17,2330,,3.44,,10.79,3.19,
2015-09-18,2330,,3.42,,10.83,3.20,
2015-09-21,2330,,3.47,,10.67,3.15,
2015-09-22,2330,,3.49,,10.63,3.14,
2015-09-23,2330,,3.61,,10.26,3.03,
2015-09-24,2330,,3.54,,10.46,3.09,
2015-09-25,2330,,3.54,,10.46,3.09,
2015-09-30,2330,,3.46,,10.71,3.16,
2015-10-01,2330,,3.37,,11.00,3.25,
2015-10-02,2330,,3.41,,10.87,3.21,
2015-10-05,2330,,3.40,,10.91,3.22,
2015-10-06,2330,,3.38,,10.96,3.23,
2015-10-07,2330,,3.33,,11.12,3.28,
2015-10-08,2330,,3.31,,11.20,3.31,
2015-10-12,2330,,3.25,,11.41,3.37,
2015-10-13,2330,,3.27,,11.33,3.34,
2015-10-14,2330,,3.30,,11.24,3.32,
2015-10-15,2330,,3.21,,11.53,3.40,
2015-10-16,2330,,3.27,,11.33,3.34,
2015-10-19,2330,,3.26,,11.37,3.36,
2015-10-20,2330,,3.24,,11.45,3.38,
2015-10-21,2330,,3.25,,11.41,3.37,
2015-10-22,2330,,3.27,,11.33,3.34,
2015-10-23,2330,,3.21,,11.53,3.40,
2015-10-26,2330,,3.21,,11.53,3.40,
2015-10-27,2330,,3.24,,11.45,3.38,
2015-10-28,2330,,3.26,,11.37,3.36,
2015-10-29,2330,,3.30,,11.24,3.32,
2015-10-30,2330,,3.30,,11.24,3.32,
2015-11-02,2330,,3.27,,11.33,3.34,
2015-11-03,2330,,3.23,,11.49,3.39,
2015-11-04,2330,,3.11,,11.90,3.51,
2015-11-05,2330,,3.16,,11.74,3.46,
2015-11-06,2330,,3.21,,11.53,3.40,
2015-11-09,2330,,3.17,,11.70,3.45,
2015-11-10,2330,,3.23,,11.49,3.39,
2015-11-11,2330,,3.27,,11.36,3.10,
2015-11-12,2330,,3.25,,11.45,3.12,
2015-11-13,2330,,3.31,,11.24,3.06,
2015-11-16,2330,,3.33,,11.16,3.04,
2015-11-17,2330,,3.25,,11.45,3.12,
2015-11-18,2330,,3.28,,11.32,3.09,
2015-11-19,2330,,3.20,,11.61,3.17,
2015-11-20,2330,,3.19,,11.65,3.18,
2015-11-23,2330,,3.19,,11.65,3.18,
2015-11-24,2330,,3.23,,11.53,3.14,
2015-11-25,2330,,3.19,,11.65,3.18,
2015-11-26,2330,,3.16,,11.78,3.21,
2015-11-27,2330,,3.24,,11.49,3.13,
2015-11-30,2330,,3.24,,11.49,3.13,
2015-12-01,2330,,3.16,,11.78,3.21,
2015-12-02,2330,,3.16,,11.78,3.21,
2015-12-03,2330,,3.16,,11.78,3.21,
2015-12-04,2330,,3.20,,11.61,3.17,
2015-12-07,2330,,3.14,,11.86,3.23,
2015-12-08,2330,,3.16,,11.78,3.21,
2015-12-09,2330,,3.20,,11.61,3.17,
2015-12-10,2330,,3.19,,11.65,3.18,
2015-12-11,2330,,3.23,,11.53,3.14,
2015-12-14,2330,,3.24,,11.49,3.13,
2015-12-15,2330,,3.26,,11.40,3.11,
2015-12-16,2330,,3.14,,11.86,3.23,
