date,stock_id,foreign,trust,dealer,total
2016-10-07,00673R,0,0,660000,660000
2016-10-11,00673R,0,0,918000,918000
2016-10-12,00673R,0,0,-145000,-145000
2016-10-13,00673R,0,0,122000,122000
2016-10-14,00673R,0,0,-385000,-385000
2016-10-17,00673R,0,0,1000,1000
2016-10-18,00673R,0,0,-3000,-3000
2016-10-19,00673R,0,0,-13000,-13000
2016-10-20,00673R,0,0,-172000,-172000
2016-10-21,00673R,100000,0,228000,328000
2016-10-24,00673R,0,0,77000,77000
2016-10-25,00673R,-2000,0,41000,39000
2016-10-26,00673R,0,0,255000,255000
2016-10-27,00673R,0,0,182000,182000
2016-10-28,00673R,0,0,-215000,-215000
2016-10-31,00673R,0,0,-14000,-14000
2016-11-01,00673R,-5000,0,1479000,1474000
2016-11-02,00673R,6000,0,379000,385000
2016-11-03,00673R,6000,0,468000,474000
2016-11-04,00673R,0,0,-154000,-154000
2016-11-07,00673R,119000,0,220000,339000
2016-11-08,00673R,105000,0,118000,223000
2016-11-09,00673R,418000,0,-503000,-85000
2016-11-10,00673R,0,0,-94000,-94000
2016-11-11,00673R,-1000,0,57000,56000
2016-11-14,00673R,4000,0,-37000,-33000
2016-11-15,00673R,0,0,-34000,-34000
2016-11-16,00673R,-2000,0,-236000,-238000
2016-11-17,00673R,0,0,74000,74000
2016-11-18,00673R,0,0,46000,46000
2016-11-21,00673R,0,0,-183000,-183000
2016-11-22,00673R,-24000,0,-657000,-681000
2016-11-23,00673R,0,0,16000,16000
2016-11-24,00673R,-6000,0,381000,375000
2016-11-25,00673R,0,0,-777000,-777000
2016-11-28,00673R,-35000,0,-43000,-78000
2016-11-29,00673R,0,0,-902000,-902000
2016-11-30,00673R,9000,0,920000,929000
2016-12-01,00673R,206000,0,-4248000,-4042000
2016-12-02,00673R,-203000,0,-4122000,-4325000
2016-12-05,00673R,0,0,-2159000,-2159000
2016-12-06,00673R,0,0,-2595000,-2595000
2016-12-07,00673R,0,0,222000,222000
2016-12-08,00673R,0,0,1525000,1525000
2016-12-09,00673R,0,0,-1761000,-1761000
2016-12-12,00673R,-98000,0,-1649000,-1747000
2016-12-13,00673R,0,0,1341000,1341000
2016-12-14,00673R,0,0,-585000,-585000
2016-12-15,00673R,0,0,3076000,3076000
2016-12-16,00673R,-2000,0,337000,335000
2016-12-19,00673R,0,0,-906000,-906000
2016-12-20,00673R,0,0,-238000,-238000
2016-12-21,00673R,0,0,-349000,-349000
2016-12-22,00673R,0,0,641000,641000
2016-12-23,00673R,0,0,-132000,-132000
2016-12-26,00673R,0,0,26000,26000
2016-12-27,00673R,0,0,-823000,-823000
2016-12-28,00673R,0,0,-1252000,-1252000
2016-12-29,00673R,-119000,0,-178000,-297000
2016-12-30,00673R,-328000,0,-506000,-834000
2017-01-03,00673R,0,0,-393000,-393000
2017-01-04,00673R,293000,0,2348000,2641000
2017-01-05,00673R,0,0,-387000,-387000
2017-01-06,00673R,-122000,0,-1531000,-1653000
2017-01-09,00673R,-1000,0,-19000,-20000
2017-01-10,00673R,0,0,4407000,4407000
2017-01-11,00673R,0,0,3079000,3079000
2017-01-12,00673R,0,0,-866000,-866000
2017-01-13,00673R,-73000,0,-1645000,-1718000
2017-01-16,00673R,14000,0,187000,201000
2017-01-17,00673R,0,0,291000,291000
2017-01-18,00673R,0,0,-435000,-435000
2017-01-19,00673R,4000,0,3090000,3094000
2017-01-20,00673R,0,0,398000,398000
2017-01-23,00673R,0,0,-1639000,-1639000
2017-01-24,00673R,100000,0,0,100000
2017-02-02,00673R,-1000,0,-1478000,-1479000
2017-02-03,00673R,0,0,-1695000,-1695000
2017-02-06,00673R,0,0,-831000,-831000
2017-02-07,00673R,201000,0,1273000,1474000
2017-02-08,00673R,653000,0,3994000,4647000
2017-02-09,00673R,0,0,-185000,-185000
2017-02-10,00673R,-122000,0,-1694000,-1816000
2017-02-13,00673R,-1015000,0,-5101000,-6116000
2017-02-14,00673R,241000,0,686000,927000
2017-02-15,00673R,217000,0,1288000,1505000
2017-02-16,00673R,125000,0,217000,342000
2017-02-17,00673R,-5000,0,-220000,-225000
2017-02-18,00673R,0,0,5000,5000
2017-02-20,00673R,0,0,-291000,-291000
2017-02-21,00673R,0,0,-723000,-723000
2017-02-22,00673R,-434000,0,-3286000,-3720000
2017-02-23,00673R,189000,0,455000,644000
2017-02-24,00673R,0,0,-811000,-811000
2017-03-01,00673R,53000,0,535000,588000
2017-03-02,00673R,498000,0,1561000,2059000
2017-03-03,00673R,1370000,0,4542000,5912000
2017-03-06,00673R,0,0,1064000,1064000
2017-03-07,00673R,0,0,255000,255000
2017-03-08,00673R,0,0,371000,371000
2017-03-09,00673R,955000,0,3598000,4553000
2017-03-10,00673R,-181000,0,522000,341000
2017-03-13,00673R,-83000,0,-175000,-258000
2017-03-14,00673R,173000,0,134000,307000
2017-03-15,00673R,-161000,0,-258000,-419000
2017-03-16,00673R,-4000,0,493000,489000
2017-03-17,00673R,-175000,0,-178000,-353000
2017-03-20,00673R,-108000,0,217000,109000
2017-03-21,00673R,-223000,0,558000,335000
2017-03-22,00673R,-65000,0,94000,29000
2017-03-23,00673R,212000,0,-95000,117000
2017-03-24,00673R,-386000,0,-134000,-520000
2017-03-27,00673R,-164000,0,253000,89000
2017-03-28,00673R,-30000,0,-190000,-220000
2017-03-29,00673R,-10000,0,-21000,-31000
2017-03-30,00673R,-431000,0,-63000,-494000
2017-03-31,00673R,-205000,0,305000,100000
2017-04-05,00673R,-78000,0,-839000,-917000
2017-04-06,00673R,0,0,-502000,-502000
2017-04-07,00673R,-366000,0,-3959000,-4325000
2017-04-10,00673R,203000,0,-242000,-39000
2017-04-11,00673R,2000,0,-878000,-876000
2017-04-12,00673R,0,0,-1661000,-1661000
2017-04-13,00673R,-72000,0,-388000,-460000
2017-04-14,00673R,-12000,0,101000,89000
2017-04-17,00673R,1000,0,416000,417000
2017-04-18,00673R,1000,0,-310000,-309000
2017-04-19,00673R,-61000,0,-1040000,-1101000
2017-04-20,00673R,572000,0,1594000,2166000
2017-04-21,00673R,0,0,891000,891000
2017-04-24,00673R,689000,0,1396000,2085000
2017-04-25,00673R,108000,0,1767000,1875000
2017-04-26,00673R,217000,0,822000,1039000
2017-04-27,00673R,86000,0,624000,710000
2017-04-28,00673R,151000,0,896000,1047000
2017-05-02,00673R,126000,0,420000,546000
2017-05-03,00673R,367000,0,165000,532000
2017-05-04,00673R,0,0,269000,269000
2017-05-05,00673R,-148000,0,-33000,-181000
2017-05-08,00673R,0,0,-55000,-55000
2017-05-09,00673R,55000,0,-113000,-58000
2017-05-10,00673R,0,0,-319000,-319000
2017-05-11,00673R,0,0,155000,155000
2017-05-12,00673R,-304000,0,14000,-290000
2017-05-15,00673R,-47000,0,49000,2000
2017-05-16,00673R,-63000,0,-166000,-229000
2017-05-17,00673R,0,0,-354000,-354000
2017-05-18,00673R,0,0,-361000,-361000
2017-05-19,00673R,-283000,0,-737000,-1020000
2017-05-22,00673R,-309000,0,-939000,-1248000
2017-05-23,00673R,0,0,-1701000,-1701000
2017-05-24,00673R,-79000,0,-1106000,-1185000
2017-05-25,00673R,-185000,0,-1271000,-1456000
2017-05-26,00673R,23000,0,-1189000,-1166000
2017-05-31,00673R,-41000,0,-1352000,-1393000
2017-06-01,00673R,155000,0,-198000,-43000
2017-06-02,00673R,0,0,33000,33000
2017-06-03,00673R,0,0,-169000,-169000
2017-06-05,00673R,129000,0,1500000,1629000
2017-06-06,00673R,152000,0,871000,1023000
2017-06-07,00673R,511000,0,980000,1491000
2017-06-08,00673R,850000,0,2950000,3800000
2017-06-09,00673R,206000,0,364000,570000
2017-06-12,00673R,0,0,456000,456000
2017-06-13,00673R,184000,0,264000,448000
2017-06-14,00673R,0,0,135000,135000
2017-06-15,00673R,62000,0,62000,124000
2017-06-16,00673R,274000,0,244000,518000
2017-06-19,00673R,-37000,0,-11000,-48000
2017-06-20,00673R,0,0,33000,33000
2017-06-21,00673R,-45000,0,-102000,-147000
2017-06-22,00673R,-573000,0,46000,-527000
2017-06-23,00673R,0,0,-75000,-75000
2017-06-26,00673R,268000,0,242000,510000
2017-06-27,00673R,0,0,-105000,-105000
2017-06-28,00673R,109000,0,144000,253000
2017-06-29,00673R,0,0,1000,1000
2017-06-30,00673R,-1000,0,-86000,-87000
2017-07-03,00673R,-122000,0,-153000,-275000
2017-07-04,00673R,-249000,0,-606000,-855000
2017-07-05,00673R,-108000,0,-945000,-1053000
2017-07-06,00673R,-240000,0,-5870000,-6110000
2017-07-07,00673R,-521000,0,-7208000,-7729000
2017-07-10,00673R,0,0,-2043000,-2043000
2017-07-11,00673R,618000,0,747000,1365000
2017-07-12,00673R,915000,0,3303000,4218000
2017-07-13,00673R,0,0,-362000,-362000
2017-07-14,00673R,0,0,123000,123000
2017-07-17,00673R,1000,0,222000,223000
2017-07-18,00673R,-8000,0,-376000,-384000
2017-07-19,00673R,-30000,0,-99000,-129000
2017-07-20,00673R,-514000,0,-823000,-1337000
2017-07-21,00673R,0,0,-93000,-93000
2017-07-24,00673R,0,0,304000,304000
2017-07-25,00673R,81000,0,-853000,-772000
2017-07-26,00673R,-971000,0,-3984000,-4955000
2017-07-27,00673R,0,0,-3659000,-3659000
2017-07-28,00673R,0,0,-4816000,-4816000
2017-07-31,00673R,-90000,0,-5276000,-5366000
2017-08-01,00673R,0,0,-6158000,-6158000
2017-08-02,00673R,0,0,-7364000,-7364000
2017-08-03,00673R,0,0,-4846000,-4846000
2017-08-04,00673R,0,0,-435000,-435000
2017-08-07,00673R,-452000,0,-676000,-1128000
2017-08-08,00673R,0,0,-18000,-18000
2017-08-09,00673R,911000,0,28000,939000
2017-08-10,00673R,439000,0,7000,446000
2017-08-11,00673R,2160000,0,1831000,3991000
2017-08-14,00673R,-284000,0,-224000,-508000
2017-08-15,00673R,1463000,0,4226000,5689000
2017-08-16,00673R,-135000,0,708000,573000
2017-08-17,00673R,-15000,0,2898000,2883000
2017-08-18,00673R,-758000,0,513000,-245000
2017-08-21,00673R,-1940000,0,595000,-1345000
2017-08-22,00673R,1767000,0,4863000,6630000
2017-08-23,00673R,65000,0,1759000,1824000
2017-08-24,00673R,-757000,0,36000,-721000
2017-08-25,00673R,0,0,2343000,2343000
2017-08-28,00673R,0,0,1054000,1054000
2017-08-29,00673R,167000,0,2883000,3050000
2017-08-30,00673R,0,0,2638000,2638000
2017-08-31,00673R,71000,0,941000,1012000
2017-09-01,00673R,-712000,0,-115000,-827000
2017-09-04,00673R,45000,0,1584000,1629000
2017-09-05,00673R,223000,0,80000,303000
2017-09-06,00673R,-292000,0,-1918000,-2210000
2017-09-07,00673R,-910000,0,-4017000,-4927000
2017-09-08,00673R,0,0,-4737000,-4737000
2017-09-11,00673R,3270000,0,3868000,7138000
2017-09-12,00673R,-184000,0,-496000,-680000
2017-09-13,00673R,-337000,0,-36000,-373000
2017-09-14,00673R,-1712000,0,-4875000,-6587000
2017-09-15,00673R,-544000,0,-11266000,-11810000
2017-09-18,00673R,0,0,-6675000,-6675000
2017-09-19,00673R,-1022000,0,-2364000,-3386000
2017-09-20,00673R,-667000,0,-1785000,-2452000
2017-09-21,00673R,-410000,0,-5462000,-5872000
2017-09-22,00673R,0,0,-2516000,-2516000
2017-09-25,00673R,-146000,0,-1830000,-1976000
2017-09-26,00673R,-804000,0,-10470000,-11274000
2017-09-27,00673R,-20000,0,-3017000,-3037000
2017-09-28,00673R,0,0,-3639000,-3639000
2017-09-29,00673R,65000,0,-2203000,-2138000
2017-09-30,00673R,-502000,0,-149000,-651000
2017-10-02,00673R,0,0,-1190000,-1190000
2017-10-03,00673R,185000,0,521000,706000
2017-10-05,00673R,987000,0,2278000,3265000
2017-10-06,00673R,657000,0,1001000,1658000
2017-10-11,00673R,66000,0,2878000,2944000
2017-10-12,00673R,0,0,339000,339000
2017-10-13,00673R,0,0,138000,138000
2017-10-16,00673R,0,0,-1571000,-1571000
2017-10-17,00673R,-181000,0,-825000,-1006000
2017-10-18,00673R,-322000,0,-1898000,-2220000
2017-10-19,00673R,-196000,0,-1292000,-1488000
2017-10-20,00673R,0,0,5000,5000
2017-10-23,00673R,-201000,0,-871000,-1072000
2017-10-24,00673R,-251000,0,-452000,-703000
2017-10-25,00673R,-584000,0,-2796000,-3380000
2017-10-26,00673R,0,0,410000,410000
2017-10-27,00673R,-253000,0,-1471000,-1724000
