date,stock_id,foreign,trust,dealer,total
2017-03-14,00682U,0,0,160000,160000
2017-03-15,00682U,0,0,105000,105000
2017-03-16,00682U,0,0,5000,5000
2017-03-17,00682U,0,0,-314000,-314000
2017-03-20,00682U,0,0,-243000,-243000
2017-03-21,00682U,0,0,34000,34000
2017-03-22,00682U,0,0,223000,223000
2017-03-23,00682U,0,0,-12000,-12000
2017-03-24,00682U,0,0,24000,24000
2017-03-27,00682U,0,0,-23000,-23000
2017-03-28,00682U,0,0,-23000,-23000
2017-03-29,00682U,0,0,-16000,-16000
2017-03-30,00682U,0,0,-44000,-44000
2017-03-31,00682U,0,0,-22000,-22000
2017-04-05,00682U,0,0,6000,6000
2017-04-06,00682U,0,0,3000,3000
2017-04-07,00682U,0,0,16000,16000
2017-04-10,00682U,0,0,-19000,-19000
2017-04-11,00682U,0,0,-5000,-5000
2017-04-12,00682U,0,0,5000,5000
2017-04-13,00682U,0,0,-15000,-15000
2017-04-14,00682U,0,0,1000,1000
2017-04-17,00682U,0,0,2000,2000
2017-04-18,00682U,0,0,-1000,-1000
2017-04-19,00682U,0,0,-21000,-21000
2017-04-20,00682U,0,0,5000,5000
2017-04-21,00682U,0,0,-2000,-2000
2017-04-24,00682U,0,0,-2000,-2000
2017-04-25,00682U,0,0,5000,5000
2017-04-26,00682U,0,0,-35000,-35000
2017-04-27,00682U,0,0,-5000,-5000
2017-04-28,00682U,0,0,-3000,-3000
2017-05-02,00682U,0,0,-54000,-54000
2017-05-03,00682U,0,0,-7000,-7000
2017-05-04,00682U,0,0,-7000,-7000
2017-05-05,00682U,0,0,-10000,-10000
2017-05-08,00682U,0,0,-3000,-3000
2017-05-09,00682U,0,0,3000,3000
2017-05-10,00682U,0,0,-29000,-29000
2017-05-11,00682U,0,0,15000,15000
2017-05-12,00682U,0,0,-1000,-1000
2017-05-15,00682U,0,0,1000,1000
2017-05-16,00682U,0,0,16000,16000
2017-05-17,00682U,0,0,-37000,-37000
2017-05-18,00682U,6000,0,-24000,-18000
2017-05-19,00682U,5000,0,-15000,-10000
2017-05-22,00682U,17000,0,-11000,6000
2017-05-23,00682U,0,0,-47000,-47000
2017-05-24,00682U,1000,0,-1000,0
2017-05-25,00682U,0,0,-53000,-53000
2017-05-26,00682U,0,0,-22000,-22000
2017-05-31,00682U,0,0,13000,13000
2017-06-01,00682U,0,0,11000,11000
2017-06-02,00682U,0,0,2000,2000
2017-06-03,00682U,0,0,-5000,-5000
2017-06-05,00682U,0,0,-1000,-1000
2017-06-06,00682U,11000,0,1000,12000
2017-06-07,00682U,1000,0,-20000,-19000
2017-06-08,00682U,0,0,-6000,-6000
2017-06-09,00682U,41000,0,467000,508000
2017-06-12,00682U,0,0,-32000,-32000
2017-06-13,00682U,0,0,23000,23000
2017-06-14,00682U,0,0,6000,6000
2017-06-15,00682U,0,0,6000,6000
2017-06-16,00682U,-2000,0,-11000,-13000
2017-06-19,00682U,0,0,1000,1000
2017-06-20,00682U,0,0,6000,6000
2017-06-21,00682U,0,0,21000,21000
2017-06-22,00682U,0,0,7000,7000
2017-06-26,00682U,23000,0,-20000,3000
2017-06-27,00682U,10000,0,-2000,8000
2017-06-28,00682U,-2000,0,-32000,-34000
2017-06-29,00682U,0,0,-38000,-38000
2017-06-30,00682U,49000,0,-50000,-1000
2017-07-03,00682U,5000,0,-117000,-112000
2017-07-04,00682U,-4000,0,-1000,-5000
2017-07-05,00682U,0,0,-2000,-2000
2017-07-06,00682U,-9000,0,1000,-8000
2017-07-10,00682U,-2000,0,0,-2000
2017-07-12,00682U,0,0,-2000,-2000
2017-07-13,00682U,0,0,70000,70000
2017-07-14,00682U,0,0,21000,21000
2017-07-17,00682U,-4000,0,0,-4000
2017-07-18,00682U,-11000,0,0,-11000
2017-07-19,00682U,-20000,0,0,-20000
2017-07-20,00682U,-4000,0,-1000,-5000
2017-07-21,00682U,-36000,0,-10000,-46000
2017-07-24,00682U,-12000,0,-2000,-14000
2017-07-25,00682U,0,0,-40000,-40000
2017-07-26,00682U,-1000,0,0,-1000
2017-07-27,00682U,-27000,0,-7000,-34000
2017-07-28,00682U,30000,0,-33000,-3000
2017-07-31,00682U,-12000,0,-18000,-30000
2017-08-01,00682U,-4000,0,-39000,-43000
2017-08-02,00682U,-3000,0,-18000,-21000
2017-08-03,00682U,-4000,0,-45000,-49000
2017-08-04,00682U,-12000,0,-102000,-114000
2017-08-07,00682U,0,0,-12000,-12000
2017-08-08,00682U,0,0,-15000,-15000
2017-08-10,00682U,0,0,-2000,-2000
2017-08-11,00682U,0,0,-26000,-26000
2017-08-14,00682U,0,0,-22000,-22000
2017-08-16,00682U,30000,0,0,30000
2017-08-22,00682U,-16000,0,0,-16000
2017-08-23,00682U,8000,0,0,8000
2017-08-24,00682U,-10000,0,-6000,-16000
2017-08-25,00682U,1000,0,-2000,-1000
2017-08-28,00682U,-2000,0,-102000,-104000
2017-08-29,00682U,19000,0,-24000,-5000
2017-08-30,00682U,60000,0,-151000,-91000
2017-08-31,00682U,-16000,0,-18000,-34000
2017-09-01,00682U,-19000,0,-1000,-20000
2017-09-04,00682U,20000,0,-33000,-13000
2017-09-05,00682U,0,0,-4000,-4000
2017-09-06,00682U,0,0,-56000,-56000
2017-09-07,00682U,0,0,-30000,-30000
2017-09-08,00682U,49000,0,-407000,-358000
2017-09-11,00682U,12000,0,-35000,-23000
2017-09-12,00682U,-8000,0,-10000,-18000
2017-09-13,00682U,-7000,0,0,-7000
2017-09-14,00682U,-2000,0,-4000,-6000
2017-09-15,00682U,-1000,0,-12000,-13000
2017-09-18,00682U,22000,0,0,22000
2017-09-19,00682U,31000,0,0,31000
2017-09-21,00682U,9000,0,0,9000
2017-09-22,00682U,7000,0,-32000,-25000
2017-09-25,00682U,-13000,0,-20000,-33000
2017-09-26,00682U,2000,0,0,2000
2017-09-27,00682U,0,0,-13000,-13000
2017-09-28,00682U,18000,0,-531000,-513000
2017-09-29,00682U,3000,0,-334000,-331000
2017-09-30,00682U,0,0,-26000,-26000
2017-10-02,00682U,0,0,3000,3000
2017-10-03,00682U,40000,0,-54000,-14000
2017-10-05,00682U,30000,0,-6000,24000
2017-10-06,00682U,10000,0,0,10000
2017-10-11,00682U,2000,0,-23000,-21000
2017-10-12,00682U,0,0,-13000,-13000
2017-10-16,00682U,1000,0,0,1000
2017-10-17,00682U,102000,0,-210000,-108000
2017-10-18,00682U,2000,0,-58000,-56000
2017-10-19,00682U,1000,0,8000,9000
2017-10-20,00682U,12000,0,0,12000
2017-10-23,00682U,40000,0,2000,42000
2017-10-24,00682U,20000,0,-28000,-8000
2017-10-26,00682U,-5000,0,0,-5000
2017-10-27,00682U,21000,0,107000,128000
2017-10-30,00682U,-15000,0,-1000,-16000
2017-10-31,00682U,0,0,1000,1000
2017-11-01,00682U,12000,0,0,12000
2017-11-02,00682U,-5000,0,0,-5000
2017-11-06,00682U,20000,0,3000,23000
2017-11-07,00682U,37000,0,0,37000
2017-11-08,00682U,0,0,15000,15000
2017-11-09,00682U,5000,0,0,5000
2017-11-10,00682U,-4000,0,2000,-2000
2017-11-13,00682U,19000,0,39000,58000
2017-11-14,00682U,10000,0,10000,20000
2017-11-16,00682U,15000,0,9000,24000
2017-11-17,00682U,-13000,0,0,-13000
2017-11-20,00682U,15000,0,0,15000
2017-11-21,00682U,25000,0,4000,29000
2017-11-22,00682U,0,0,1000,1000
2017-11-23,00682U,-2000,0,0,-2000
2017-11-24,00682U,-1000,0,0,-1000
2017-11-27,00682U,-61000,0,-11000,-72000
2017-11-28,00682U,-2000,0,-9000,-11000
2017-12-04,00682U,1000,0,0,1000
2017-12-05,00682U,1000,0,0,1000
2017-12-06,00682U,3000,0,0,3000
2017-12-08,00682U,98000,0,-108000,-10000
2017-12-11,00682U,0,0,3000,3000
2017-12-12,00682U,0,0,12000,12000
2017-12-13,00682U,114000,0,599000,713000
2017-12-14,00682U,0,0,43000,43000
2017-12-15,00682U,16000,0,7000,23000
2017-12-18,00682U,6000,0,1000,7000
2017-12-19,00682U,0,0,7000,7000
2017-12-20,00682U,-7000,0,0,-7000
2017-12-21,00682U,-7000,0,0,-7000
2017-12-22,00682U,3000,0,50000,53000
2017-12-25,00682U,7000,0,0,7000
2017-12-26,00682U,-76000,0,160000,84000
2017-12-27,00682U,-40000,0,1000,-39000
2017-12-28,00682U,-37000,0,3000,-34000
2017-12-29,00682U,-19000,0,0,-19000
2018-01-02,00682U,0,0,-5000,-5000
2018-01-03,00682U,0,0,-36000,-36000
2018-01-04,00682U,0,0,-8000,-8000
2018-01-05,00682U,-70000,0,-6000,-76000
2018-01-08,00682U,0,0,4000,4000
2018-01-09,00682U,0,0,-305000,-305000
2018-01-10,00682U,0,0,-20000,-20000
2018-01-11,00682U,0,0,12000,12000
2018-01-12,00682U,0,0,-16000,-16000
2018-01-15,00682U,0,0,-121000,-121000
2018-01-16,00682U,0,0,-65000,-65000
2018-01-17,00682U,0,0,-30000,-30000
2018-01-18,00682U,0,0,-15000,-15000
2018-01-19,00682U,-240000,0,-39000,-279000
2018-01-22,00682U,0,0,9000,9000
2018-01-23,00682U,0,0,-9000,-9000
2018-01-24,00682U,0,0,-4000,-4000
2018-01-25,00682U,0,0,-97000,-97000
2018-01-26,00682U,0,0,-62000,-62000
2018-01-29,00682U,-77000,0,-158000,-235000
2018-01-30,00682U,-23000,0,-113000,-136000
2018-01-31,00682U,0,0,-70000,-70000
2018-02-01,00682U,0,0,-10000,-10000
2018-02-02,00682U,0,0,-226000,-226000
2018-02-05,00682U,0,0,-187000,-187000
2018-02-06,00682U,0,0,-253000,-253000
2018-02-07,00682U,0,0,-56000,-56000
2018-02-08,00682U,0,0,-22000,-22000
2018-02-12,00682U,0,0,-98000,-98000
2018-02-21,00682U,0,0,-3000,-3000
2018-02-22,00682U,0,0,-1000,-1000
2018-02-26,00682U,0,0,-14000,-14000
