date,stock_id,foreign,trust,dealer,total
2017-09-01,00708L,0,0,1945000,1945000
2017-09-04,00708L,0,0,-157000,-157000
2017-09-05,00708L,0,0,-206000,-206000
2017-09-06,00708L,0,0,-67000,-67000
2017-09-07,00708L,0,0,-131000,-131000
2017-09-08,00708L,0,0,-134000,-134000
2017-09-11,00708L,0,0,-233000,-233000
2017-09-12,00708L,0,0,30000,30000
2017-09-13,00708L,0,0,223000,223000
2017-09-14,00708L,0,0,-98000,-98000
2017-09-15,00708L,0,0,-546000,-546000
2017-09-18,00708L,0,0,-494000,-494000
2017-09-19,00708L,0,0,-782000,-782000
2017-09-20,00708L,0,0,-166000,-166000
2017-09-21,00708L,0,0,-738000,-738000
2017-09-22,00708L,0,0,-929000,-929000
2017-09-25,00708L,0,0,-379000,-379000
2017-09-26,00708L,0,0,-44000,-44000
2017-09-27,00708L,0,0,-791000,-791000
2017-09-28,00708L,0,0,-798000,-798000
2017-09-29,00708L,0,0,-332000,-332000
2017-09-30,00708L,0,0,-290000,-290000
2017-10-02,00708L,0,0,-802000,-802000
2017-10-03,00708L,0,0,-381000,-381000
2017-10-05,00708L,0,0,-536000,-536000
2017-10-06,00708L,0,0,-1078000,-1078000
2017-10-11,00708L,266000,0,170000,436000
2017-10-12,00708L,114000,0,373000,487000
2017-10-13,00708L,0,0,20000,20000
2017-10-16,00708L,116000,0,246000,362000
2017-10-17,00708L,0,0,254000,254000
2017-10-18,00708L,-259000,0,-1009000,-1268000
2017-10-19,00708L,-120000,0,-943000,-1063000
2017-10-20,00708L,0,0,219000,219000
2017-10-23,00708L,-5000,0,-692000,-697000
2017-10-24,00708L,0,0,-61000,-61000
2017-10-25,00708L,-110000,0,-968000,-1078000
2017-10-26,00708L,0,0,-474000,-474000
2017-10-27,00708L,-502000,0,-2024000,-2526000
2017-10-30,00708L,-40000,0,621000,581000
2017-10-31,00708L,0,0,89000,89000
2017-11-01,00708L,0,0,-1212000,-1212000
2017-11-02,00708L,33000,0,-1159000,-1126000
2017-11-03,00708L,0,0,-873000,-873000
2017-11-06,00708L,-250000,0,-2329000,-2579000
2017-11-07,00708L,682000,0,725000,1407000
2017-11-08,00708L,0,0,-896000,-896000
2017-11-09,00708L,108000,0,804000,912000
2017-11-10,00708L,13000,0,452000,465000
2017-11-13,00708L,0,0,-371000,-371000
2017-11-14,00708L,0,0,12000,12000
2017-11-15,00708L,0,0,131000,131000
2017-11-16,00708L,0,0,-448000,-448000
2017-11-17,00708L,39000,0,394000,433000
2017-11-20,00708L,551000,0,502000,1053000
2017-11-21,00708L,-450000,0,-1656000,-2106000
2017-11-22,00708L,0,0,-412000,-412000
