key,date,stock_id,name,market,open,high,low,close,volume,amount,change,limit
2026-09-02_00400A,2026-09-02,00400A,主動國泰動能高息,twse,15.31,15.34,15.15,15.17,31680837,482857600,-0.2,
2026-09-02_00401A,2026-09-02,00401A,主動摩根台灣鑫收,twse,14.15,14.17,14.06,14.06,5565312,78564733,-0.13,
2026-09-02_00402A,2026-09-02,00402A,主動安聯美國科技,twse,9.37,9.37,9.34,9.36,3843812,35959079,-0.15,
2026-09-02_00403A,2026-09-02,00403A,主動統一升級50,twse,10.33,10.41,10.26,10.27,137652008,1421131614,-0.18,
2026-09-02_00404A,2026-09-02,00404A,主動聯博動能50,twse,9.85,9.90,9.76,9.80,19353372,189711588,-0.06,
2026-09-02_00405A,2026-09-02,00405A,主動富邦台灣龍耀,twse,8.85,8.92,8.76,8.78,51461959,454463662,-0.15,
2026-09-02_00406A,2026-09-02,00406A,主動中信台灣收益,twse,9.78,9.79,9.63,9.64,227374632,2203313145,0.0,
2026-09-02_00407A,2026-09-02,00407A,主動凱基台灣,twse,9.88,9.95,9.77,9.78,28949825,284812657,-0.21,
2026-09-02_00408A,2026-09-02,00408A,主動第一金優股息,twse,10.65,10.65,10.50,10.55,1315385,13883641,-0.1,
2026-09-02_00409A,2026-09-02,00409A,主動復華全球50,twse,9.75,9.82,9.65,9.70,109449365,1064524706,-0.19,
2026-09-02_00410A,2026-09-02,00410A,主動永豐科技趨勢,twse,12.46,12.46,12.30,12.31,9437113,116846020,-0.26,
2026-09-02_00411A,2026-09-02,00411A,主動統一前沿科技,tpex,9.61,9.61,9.50,9.50,20006803,190428634,-0.19,
2026-09-02_0050,2026-09-02,0050,元大台灣50,twse,107.50,107.85,106.65,106.80,67681102,7244048852,-1.65,
2026-09-02_0051,2026-09-02,0051,元大中型100,twse,146.90,147.05,146.15,146.45,24449,3582713,-1.0,
2026-09-02_0052,2026-09-02,0052,富邦科技,twse,62.55,62.80,62.05,62.05,11415151,711650172,-1.0,
2026-09-02_0053,2026-09-02,0053,元大電子,twse,244.45,244.65,242.30,242.35,89257,21737572,-4.0,
2026-09-02_0055,2026-09-02,0055,元大MSCI金融,twse,46.72,47.12,46.35,47.10,469063,21907711,0.5,
2026-09-02_0056,2026-09-02,0056,元大高股息,twse,54.75,55.30,54.50,55.10,33462140,1839233562,0.25,
2026-09-02_0057,2026-09-02,0057,富邦摩台,twse,322.65,322.65,318.25,319.15,28270,9016009,-3.5,
2026-09-02_0061,2026-09-02,0061,元大寶滬深,twse,24.36,24.36,24.06,24.23,118180,2859295,-0.24,
2026-09-02_006201,2026-09-02,006201,元大富櫃50,tpex,45.49,45.59,45.09,45.09,181003,8211012,-0.44,
2026-09-02_006203,2026-09-02,006203,元大MSCI台灣,twse,196.15,196.15,193.95,194.80,11989,2339170,-2.7,
2026-09-02_006204,2026-09-02,006204,永豐臺灣加權,twse,230.80,230.80,230.80,230.80,2613,603666,-3.2,down
2026-09-02_006205,2026-09-02,006205,富邦上証,twse,40.51,40.60,40.26,40.52,137685,5560334,-0.35,
2026-09-02_006206,2026-09-02,006206,元大上證50,twse,38.38,38.38,37.71,37.92,8464,320655,-0.13,
2026-09-02_006207,2026-09-02,006207,復華滬深,twse,31.97,32.06,31.94,32.06,171202,5473347,-0.36,
2026-09-02_006208,2026-09-02,006208,富邦台50,twse,247.20,247.20,244.45,245.20,2185554,536156808,-3.15,
2026-09-02_00631L,2026-09-02,00631L,元大台灣50正2,twse,36.70,36.75,35.93,35.93,187809624,6797382703,-1.33,
2026-09-02_00632R,2026-09-02,00632R,元大台灣50反1,twse,9.84,9.91,9.81,9.91,172149375,1699410665,0.18,
2026-09-02_00633L,2026-09-02,00633L,富邦上証正2,twse,48.70,48.70,47.41,47.96,2464440,117948566,-1.27,
2026-09-02_00634R,2026-09-02,00634R,富邦上証反1,twse,3.11,3.15,3.11,3.14,414160,1294558,0.04,
2026-09-02_00635U,2026-09-02,00635U,期元大S&P黃金,twse,44.64,44.73,44.35,44.59,6993874,311561795,-1.21,
2026-09-02_00636,2026-09-02,00636,國泰中國A50,twse,27.56,27.63,27.30,27.47,184673,5060677,-0.33,
2026-09-02_00636K,2026-09-02,00636K,國泰中國A50+U,twse,8.66,8.66,8.66,8.66,200,1732,-0.11,down
2026-09-02_00637L,2026-09-02,00637L,元大滬深300正2,twse,20.08,20.08,19.54,19.75,23865438,470995710,-0.51,
2026-09-02_00638R,2026-09-02,00638R,元大滬深300反1,twse,6.70,6.72,6.70,6.70,84000,563630,0.12,
2026-09-02_00639,2026-09-02,00639,富邦深100,twse,16.38,16.38,15.99,16.08,983446,15795021,-0.3,
2026-09-02_00640L,2026-09-02,00640L,富邦日本正2,twse,109.50,109.50,107.05,107.80,129519,13951991,-4.9,
2026-09-02_00641R,2026-09-02,00641R,富邦日本反1,twse,3.65,3.69,3.65,3.68,2557200,9388576,0.07,
2026-09-02_00642U,2026-09-02,00642U,期元大S&P石油,twse,30.53,30.53,30.06,30.08,5670720,171752991,1.22,
2026-09-02_00643,2026-09-02,00643,群益深証中小,twse,18.31,18.36,18.07,18.19,2264481,41133029,-0.25,
2026-09-02_00643K,2026-09-02,00643K,群益深証中小+R,twse,3.87,3.87,3.87,3.87,15000,58050,-0.03,down
2026-09-02_00645,2026-09-02,00645,富邦日本,twse,57.80,57.80,57.60,57.75,86463,4988838,-1.35,
2026-09-02_00646,2026-09-02,00646,元大S&P500,twse,76.15,76.25,76.00,76.25,4019736,306152221,-0.3,
2026-09-02_00647L,2026-09-02,00647L,元大S&P500正2,twse,136.40,136.50,135.95,136.50,77756,10583580,-1.3,
2026-09-02_00648R,2026-09-02,00648R,元大S&P500反1,twse,3.95,3.95,3.93,3.95,349687,1379325,0.03,
2026-09-02_00650L,2026-09-02,00650L,復華香港正2,twse,16.72,16.88,16.50,16.70,1729955,28786468,-0.14,
2026-09-02_00651R,2026-09-02,00651R,復華香港反1,twse,5.23,5.25,5.21,5.23,45489,237928,0.04,
2026-09-02_00652,2026-09-02,00652,富邦印度,twse,32.97,32.99,32.81,32.87,367734,12107513,-0.08,
2026-09-02_00653L,2026-09-02,00653L,富邦印度正2,twse,45.86,45.86,45.33,45.53,133339,6075132,-0.67,
2026-09-02_00654R,2026-09-02,00654R,富邦印度反1,twse,6.81,6.82,6.81,6.82,24014,163715,0.07,
2026-09-02_00655L,2026-09-02,00655L,國泰中國A50正2,twse,33.89,33.89,32.96,33.33,1670576,55609100,-0.93,
2026-09-02_00656R,2026-09-02,00656R,國泰中國A50反1,twse,5.93,5.93,5.90,5.90,311397,1840273,0.08,
2026-09-02_00657,2026-09-02,00657,國泰日經225,twse,75.95,75.95,75.20,75.40,79715,6014293,-2.3,
2026-09-02_00657K,2026-09-02,00657K,國泰日經225+U,twse,23.86,23.86,23.86,23.86,200,4772,-0.78,down
2026-09-02_00660,2026-09-02,00660,元大歐洲50,twse,46.02,46.46,46.02,46.46,129851,5985764,-0.54,
2026-09-02_00661,2026-09-02,00661,元大日經225,twse,83.75,83.75,83.15,83.25,72775,6063350,-2.25,
2026-09-02_00662,2026-09-02,00662,富邦NASDAQ,twse,118.40,118.40,118.05,118.40,5221847,617667767,-1.1,
2026-09-02_00663L,2026-09-02,00663L,國泰臺灣加權正2,twse,106.20,106.35,103.95,104.25,5858534,614243033,-3.6,
2026-09-02_00664R,2026-09-02,00664R,國泰臺灣加權反1,twse,1.59,1.61,1.59,1.60,16210924,25952757,0.03,
2026-09-02_00665L,2026-09-02,00665L,富邦恒生國企正2,twse,9.35,9.40,9.16,9.27,7648210,70721646,-0.09,
2026-09-02_00666R,2026-09-02,00666R,富邦恒生國企反1,twse,9.11,9.17,9.11,9.13,18320,167628,0.1,
2026-09-02_00668,2026-09-02,00668,國泰美國道瓊,twse,61.05,61.30,61.05,61.25,19542,1195317,-0.3,
2026-09-02_00668K,2026-09-02,00668K,國泰美國道瓊+U,twse,19.31,19.31,19.31,19.31,200,3862,-0.15,down
2026-09-02_00669R,2026-09-02,00669R,國泰美國道瓊反1,twse,5.20,5.24,5.20,5.22,671425,3507676,0.04,
2026-09-02_00670L,2026-09-02,00670L,富邦NASDAQ正2,twse,194.35,194.40,193.35,193.85,713198,138242544,-5.5,
2026-09-02_00671R,2026-09-02,00671R,富邦NASDAQ反1,twse,2.46,2.48,2.46,2.47,7033331,17369315,0.04,
2026-09-02_00673R,2026-09-02,00673R,期元大S&P原油反1,twse,11.24,11.40,11.20,11.37,73457881,830170650,-0.52,
2026-09-02_00674R,2026-09-02,00674R,期元大S&P黃金反1,twse,28.31,28.50,28.25,28.36,418844,11883991,0.76,
2026-09-02_00675L,2026-09-02,00675L,富邦臺灣加權正2,twse,321.60,322.30,315.05,315.35,1222861,388429713,-12.0,
2026-09-02_00676R,2026-09-02,00676R,富邦臺灣加權反1,twse,5.44,5.48,5.43,5.48,5633241,30742489,0.08,
2026-09-02_00678,2026-09-02,00678,群益那斯達克生技,twse,43.30,43.94,43.30,43.94,470280,20565476,0.75,
2026-09-02_00679B,2026-09-02,00679B,元大美債20年,tpex,25.59,25.65,25.56,25.65,16581933,424658915,0.06,
2026-09-02_00680L,2026-09-02,00680L,元大美債20正2,twse,6.33,6.35,6.32,6.32,5273064,33359255,-0.03,
