date,stock_id,pre_close,ref_price,value,kind,open_base
2023-03-16,00896,14.32,14.17,0.150000,息,14.17
2023-03-16,00915,16.39,16.17,0.220000,息,16.17
2023-03-16,01009T,8.64,8.48,0.153971,息,8.48
2023-03-16,1342,153.50,148.13,5.368536,息,148.00
2023-03-16,1712,40.45,37.65,2.800000,息,37.65
2023-03-16,2301,74.10,71.10,3.000000,息,71.10
2023-03-16,2330,511.00,508.25,2.749820,息,508.00
2023-03-16,3008,2315.00,2269.00,46.000000,息,2270.00
2023-03-16,5283,112.00,108.00,4.000000,息,108.00
2023-03-16,9802,130.00,128.80,1.198001,息,129.00
