date,stock_id,pre_close,ref_price,value,kind,open_base
2021-08-05,1102,51.90,48.43,3.462837,息,48.45
2021-08-05,1256,497.50,485.50,12.000000,息,485.50
2021-08-05,1417,15.00,14.70,0.300000,息,14.70
2021-08-05,1419,41.15,40.15,1.000000,息,40.15
2021-08-05,1440,24.75,24.40,0.350000,息,24.40
2021-08-05,1452,26.05,25.35,0.700000,息,25.35
2021-08-05,1721,10.10,9.60,0.500000,息,9.60
2021-08-05,2227,276.50,257.97,18.530000,息,258.00
2021-08-05,2250,168.00,165.00,3.000000,息,165.00
2021-08-05,2368,72.90,71.40,1.500000,息,71.40
2021-08-05,2408,75.50,74.20,1.296602,息,74.20
2021-08-05,2456,107.00,105.00,1.995452,息,105.00
2021-08-05,2481,113.00,111.50,1.500000,息,111.50
2021-08-05,2537,10.05,9.65,0.400000,息,9.65
2021-08-05,2608,56.20,54.52,1.680000,息,54.50
2021-08-05,3062,19.60,19.45,0.150000,息,19.45
2021-08-05,3712,36.75,35.75,1.000000,息,35.75
2021-08-05,4766,152.50,145.50,7.000000,息,145.50
2021-08-05,5871,236.00,220.00,15.999998,權息,220.00
2021-08-05,5871A,100.50,99.29,1.207671,息,99.30
2021-08-05,6251,23.00,22.60,0.400000,息,22.60
2021-08-05,8081,279.50,270.00,9.500000,息,270.00
2021-08-05,8249,29.05,27.75,1.300000,息,27.75
2021-08-05,8367,65.70,64.20,1.500000,息,64.20
2021-08-05,9914,339.00,332.00,7.000000,息,332.00
