date,stock_id,pre_close,ref_price,value,kind,open_base
2026-07-30,1216,78.20,75.20,3.000000,息,75.20
2026-07-30,1231,90.30,80.72,9.572727,權息,80.70
2026-07-30,1514,98.70,94.80,3.896078,權息,94.80
2026-07-30,2233,185.50,181.50,3.999946,息,181.50
2026-07-30,2345,1910.00,1895.00,15.000000,息,1895.00
2026-07-30,2409,23.65,23.25,0.400000,息,23.25
2026-07-30,2511,8.43,8.13,0.300000,息,8.13
2026-07-30,2538,10.00,9.50,0.500000,息,9.50
2026-07-30,2748,39.80,38.05,1.750000,息,38.05
2026-07-30,2912,241.00,232.00,9.000000,息,232.00
2026-07-30,3583,624.00,618.25,5.747619,息,618.00
2026-07-30,4106,24.50,23.50,1.000000,息,23.50
2026-07-30,4526,27.55,26.55,1.000000,息,26.55
2026-07-30,4551,160.50,156.30,4.200000,息,156.50
2026-07-30,4916,90.20,89.70,0.498505,息,89.70
2026-07-30,5607,49.10,47.30,1.800000,息,47.30
2026-07-30,6239,233.00,228.50,4.500000,息,228.50
2026-07-30,6962,30.15,29.15,1.000000,息,29.15
2026-07-30,7769,5175.00,5110.00,64.990246,息,5110.00
2026-07-30,9942,120.00,113.00,7.000000,息,113.00
2026-07-30,9955,22.85,22.49,0.357967,權,22.85
