date,stock_id,pre_close,ref_price,value,kind,open_base
2016-07-21,1110,15.45,15.25,0.200000,息,15.25
2016-07-21,1717,35.15,31.15,3.992593,權息,31.15
2016-07-21,2104,24.15,23.00,1.150000,息,23.00
2016-07-21,2105,69.00,66.00,3.000000,息,66.00
2016-07-21,2204,25.40,23.90,1.500000,息,23.90
2016-07-21,2365,9.30,9.13,0.169717,息,9.13
2016-07-21,2385,79.50,79.10,0.395523,權,79.10
2016-07-21,2408,39.90,37.10,2.800000,息,37.10
2016-07-21,2412,123.00,117.51,5.485200,息,117.50
2016-07-21,2427,8.11,8.01,0.100000,息,8.01
2016-07-21,2471,14.95,13.91,1.039989,息,13.90
2016-07-21,2527,17.70,16.60,1.100000,息,16.60
2016-07-21,2616,25.20,23.71,1.489501,息,23.70
2016-07-21,2823,27.10,25.48,1.619286,權息,25.50
2016-07-21,2913,15.55,15.05,0.500000,息,15.05
2016-07-21,3033,19.75,18.25,1.496028,息,18.25
2016-07-21,3130,144.00,136.00,8.000000,息,136.00
2016-07-21,3583,69.70,68.70,1.000000,息,68.70
2016-07-21,3605,26.05,25.65,0.400000,息,25.65
2016-07-21,4720,16.90,15.90,1.000000,息,15.90
2016-07-21,4935,81.70,78.20,3.500000,息,78.20
2016-07-21,6115,41.80,38.30,3.490820,息,38.30
2016-07-21,6189,35.50,32.50,3.000000,息,32.50
2016-07-21,6415,379.50,377.48,2.013641,息,377.50
2016-07-21,6442,50.70,47.70,3.000000,息,47.70
2016-07-21,8105,19.00,18.90,0.100000,息,18.90
2016-07-21,8131,23.30,21.30,2.000000,息,21.30
2016-07-21,8443,22.55,21.05,1.500000,息,21.05
2016-07-21,9907,14.60,14.28,0.320000,息,14.30
2016-07-21,9918,32.50,31.30,1.200000,息,31.30
2016-07-21,9934,15.05,13.85,1.200000,息,13.85
