date,stock_id,pre_close,ref_price,value,kind,open_base
2018-07-04,1419,47.15,43.42,3.726111,息,43.40
2018-07-04,1536,143.00,139.25,3.750000,息,139.50
2018-07-04,1615,19.20,18.30,0.900000,息,18.30
2018-07-04,1733,28.65,27.14,1.500541,息,27.15
2018-07-04,1909,25.25,23.50,1.750000,息,23.50
2018-07-04,2239,165.50,160.49,5.004202,權息,161.50
2018-07-04,2312,9.90,9.59,0.308498,息,9.59
2018-07-04,2369,12.10,11.60,0.500000,息,11.60
2018-07-04,2451,84.10,78.10,6.000000,息,78.10
2018-07-04,2820,14.35,13.64,0.710000,息,13.65
2018-07-04,2832,21.00,19.90,1.100000,息,19.90
2018-07-04,2885,13.55,12.99,0.556315,息,13.00
2018-07-04,2887E,54.10,51.72,2.375000,息,51.70
2018-07-04,2939,151.00,136.00,15.000000,息,136.00
2018-07-04,3006,39.45,37.20,2.241214,息,37.20
2018-07-04,3021,15.55,14.80,0.750000,息,14.80
2018-07-04,5706,37.40,34.40,3.000000,息,34.40
2018-07-04,6155,44.10,43.65,0.450000,息,43.65
2018-07-04,6505,123.00,116.70,6.300000,息,116.50
2018-07-04,6581,111.50,106.15,5.350000,息,106.00
2018-07-04,8081,66.00,61.50,4.500000,息,61.50
2018-07-04,9939,52.00,49.50,2.500000,息,49.50
