date,stock_id,pre_close,ref_price,value,kind,open_base
2023-07-20,00904,13.30,13.19,0.110000,息,13.19
2023-07-20,1102,44.80,42.50,2.299587,息,42.50
2023-07-20,1227,40.80,39.51,1.290000,息,39.50
2023-07-20,1473,24.60,23.60,1.000000,息,23.60
2023-07-20,1522,34.35,32.55,1.800000,息,32.55
2023-07-20,1522A,46.55,44.55,2.000000,息,44.55
2023-07-20,1905,26.95,26.65,0.300000,息,26.65
2023-07-20,2034,29.05,27.55,1.495908,息,27.55
2023-07-20,2338,79.30,76.80,2.500000,息,76.80
2023-07-20,2352,59.70,57.70,2.000000,息,57.70
2023-07-20,2471,56.00,53.16,2.834648,息,53.20
2023-07-20,2515,11.10,10.57,0.526000,息,10.55
2023-07-20,2534,21.95,20.20,1.750000,息,20.20
2023-07-20,2617,30.55,28.35,2.200000,息,28.35
2023-07-20,2836A,21.95,21.17,0.775000,息,21.15
2023-07-20,2881,64.80,63.30,1.500000,息,63.30
2023-07-20,2881A,62.20,59.74,2.460000,息,59.70
2023-07-20,2881B,59.80,57.64,2.160000,息,57.60
2023-07-20,2881C,57.50,55.70,1.800000,息,55.70
2023-07-20,3026,106.50,96.66,9.833334,權息,96.70
2023-07-20,3607,16.85,15.85,1.000000,息,15.85
2023-07-20,4555,53.30,51.77,1.522945,息,51.80
2023-07-20,6120,19.20,19.04,0.153210,息,19.05
2023-07-20,6582,55.00,53.50,1.500000,息,53.50
2023-07-20,6782,203.00,197.50,5.500000,息,197.50
2023-07-20,8110,13.75,13.60,0.150000,息,13.60
