date,stock_id,pre_close,ref_price,value,kind,open_base
2017-08-30,1102,27.40,26.50,0.900000,息,26.50
2017-08-30,1203,25.15,24.15,1.000000,息,24.15
2017-08-30,1446,22.50,22.20,0.300000,息,22.20
2017-08-30,2104,37.75,34.52,3.226191,權息,34.50
2017-08-30,2482,13.30,12.98,0.320000,息,13.00
2017-08-30,2615,20.40,20.00,0.400000,息,20.00
2017-08-30,3380,22.90,21.86,1.040000,息,21.85
2017-08-30,3432,12.55,12.45,0.100000,息,12.45
2017-08-30,8429,34.30,32.62,1.678641,權息,32.60
2017-08-30,9188,6.45,6.31,0.135695,息,6.31
