date,stock_id,pre_close,ref_price,value,kind,open_base
2022-07-19,1220,16.50,15.50,1.000000,息,15.50
2022-07-19,1236,26.30,25.80,0.500000,息,25.80
2022-07-19,1465,12.55,12.25,0.300000,息,12.25
2022-07-19,1535,42.05,39.45,2.600000,息,39.45
2022-07-19,1615,32.85,30.85,2.000000,息,30.85
2022-07-19,2034,27.40,25.90,1.497601,息,25.90
2022-07-19,2103,28.10,25.70,2.400000,息,25.70
2022-07-19,2392,32.65,31.15,1.500000,息,31.15
2022-07-19,2397,59.50,55.90,3.600000,息,55.90
2022-07-19,2491,12.75,12.65,0.100000,息,12.65
2022-07-19,2812,13.70,12.80,0.890477,權息,12.80
2022-07-19,2849,15.10,14.37,0.730000,息,14.35
2022-07-19,2897,8.22,7.92,0.299891,息,7.92
2022-07-19,2897A,10.30,9.87,0.425000,息,9.87
2022-07-19,3550,14.55,14.25,0.300000,息,14.25
2022-07-19,3702,52.80,49.30,3.500000,息,49.30
2022-07-19,3702A,49.85,47.85,2.000000,息,47.85
2022-07-19,6189,40.50,36.82,3.677625,息,36.80
2022-07-19,6525,81.90,76.40,5.500000,息,76.40
2022-07-19,8131,38.25,35.75,2.500000,息,35.75
2022-07-19,9919,17.15,16.85,0.300000,息,16.85
