date,stock_id,pre_close,ref_price,value,kind,open_base
2017-08-10,1736,36.75,35.60,1.150000,息,35.60
2017-08-10,1789,38.95,37.16,1.786539,權息,37.15
2017-08-10,2301,48.30,45.38,2.920000,息,45.40
2017-08-10,2383,143.50,138.80,4.698261,息,139.00
2017-08-10,2472,40.50,38.10,2.400000,息,38.10
2017-08-10,2496,203.50,193.80,9.690477,權,194.00
2017-08-10,2509,19.15,17.95,1.200000,息,17.95
2017-08-10,2607,14.00,13.65,0.350000,息,13.65
2017-08-10,2886,25.70,24.28,1.420000,息,24.30
2017-08-10,3035,44.55,43.55,1.000000,息,43.55
2017-08-10,6285,95.20,88.88,6.310205,權息,88.90
2017-08-10,8480,136.00,130.00,6.000000,息,130.00
2017-08-10,910861,9.99,9.53,0.451600,權,9.99
2017-08-10,9927,39.50,37.00,2.500000,息,37.00
