date,stock_id,pre_close,ref_price,value,kind,open_base
2019-07-17,00702,21.67,21.22,0.450000,息,21.22
2019-07-17,00735,18.26,18.07,0.190000,息,18.07
2019-07-17,00736,20.37,20.20,0.170000,息,20.20
2019-07-17,1236,13.75,13.35,0.400000,息,13.35
2019-07-17,1256,240.00,212.54,27.454546,權息,212.50
2019-07-17,1434,39.40,37.30,2.100000,息,37.30
2019-07-17,1463,16.15,14.75,1.400000,息,14.75
2019-07-17,1734,19.80,19.70,0.100000,息,19.70
2019-07-17,1736,79.00,78.35,0.650000,息,78.40
2019-07-17,2029,19.60,19.35,0.250000,息,19.35
2019-07-17,2030,13.40,12.40,1.000000,息,12.40
2019-07-17,2426,17.90,16.70,1.200000,息,16.70
2019-07-17,2448,24.60,24.30,0.300000,息,24.30
2019-07-17,3015,20.35,19.10,1.250000,息,19.10
2019-07-17,6206,80.60,75.60,5.000000,息,75.60
2019-07-17,8996,44.55,42.55,2.000000,息,42.55
