date,stock_id,pre_close,ref_price,value,kind,open_base
2015-06-30,1560,62.00,57.90,4.100000,息,57.90
2015-06-30,2308,158.00,151.30,6.700000,息,151.50
2015-06-30,2327,53.00,48.99,4.000218,息,49.00
2015-06-30,2451,117.00,109.20,7.800000,息,109.00
2015-06-30,2483,19.50,18.20,1.300000,息,18.20
2015-06-30,2528,9.70,9.50,0.200000,息,9.50
2015-06-30,2642,32.25,31.15,1.100000,息,31.15
2015-06-30,2881,62.70,59.70,3.000000,息,59.70
2015-06-30,3698,20.40,19.33,1.060124,息,19.35
2015-06-30,8210,42.95,39.95,3.000000,息,39.95
