date,stock_id,pre_close,ref_price,value,kind,open_base
2018-07-17,00714,20.09,19.88,0.209000,息,19.88
2018-07-17,1109,15.40,15.30,0.100000,息,15.30
2018-07-17,1524,10.75,10.30,0.450000,息,10.30
2018-07-17,1532,29.00,27.50,1.500000,息,27.50
2018-07-17,1582,62.80,57.80,5.000000,息,57.80
2018-07-17,1592,27.05,26.05,1.000000,息,26.05
2018-07-17,1618,9.38,9.08,0.300000,息,9.08
2018-07-17,1721,10.20,10.00,0.200000,息,10.00
2018-07-17,2207,273.00,261.00,12.000000,息,261.00
2018-07-17,2731,115.00,109.80,5.200000,息,110.00
2018-07-17,2816,17.80,17.10,0.700000,息,17.10
2018-07-17,2849,15.20,14.60,0.600000,息,14.60
2018-07-17,3015,25.05,23.55,1.500000,息,23.55
2018-07-17,3023,86.60,82.60,4.000000,息,82.60
2018-07-17,3044,85.50,80.25,5.250000,息,80.30
2018-07-17,3454,81.00,75.12,5.878049,權息,75.10
2018-07-17,3617,93.10,88.10,5.000000,息,88.10
2018-07-17,4306,19.45,18.85,0.596960,息,18.85
2018-07-17,5471,30.50,29.00,1.500000,息,29.00
2018-07-17,6128,35.60,35.10,0.500000,息,35.10
2018-07-17,6206,81.10,76.60,4.500000,息,76.60
2018-07-17,6451,149.50,148.56,0.940000,息,148.50
2018-07-17,9910,163.00,158.00,5.000000,息,158.00
2018-07-17,9942,88.80,84.60,4.200000,息,84.60
