date,stock_id,pre_close,ref_price,value,kind,open_base
2020-07-21,0050,97.05,96.35,0.700000,息,96.35
2020-07-21,006203,45.70,45.42,0.280000,息,45.42
2020-07-21,006208,55.50,55.01,0.481000,息,55.00
2020-07-21,00692,24.98,24.74,0.231000,息,24.74
2020-07-21,00717,16.45,16.28,0.167000,息,16.28
2020-07-21,1201,22.45,21.11,1.333900,息,21.10
2020-07-21,1626,28.45,27.10,1.342157,權息,27.10
2020-07-21,1809,9.71,9.51,0.200000,息,9.51
2020-07-21,2013,26.45,25.64,0.810000,息,25.65
2020-07-21,2206,21.65,20.63,1.010088,息,20.65
2020-07-21,2427,10.95,10.60,0.350000,息,10.60
2020-07-21,3257,85.30,79.02,6.274979,權息,79.00
2020-07-21,3605,26.15,25.40,0.750000,息,25.40
2020-07-21,4720,13.50,13.20,0.299295,息,13.20
2020-07-21,5515,11.15,10.63,0.519421,息,10.65
2020-07-21,6415,1740.00,1732.52,7.475263,息,1735.00
2020-07-21,6671,41.50,38.50,3.000000,息,38.50
2020-07-21,9902,10.85,10.45,0.400000,息,10.45
