date,factor,cum_factor,pre_close,ref_price,kind
2015-06-29,0.99483204,0.50590848,19.35,19.25,息
2016-08-22,0.94350282,0.50853658,26.55,25.05,息
2017-08-21,0.93630573,0.53898787,23.55,22.05,息
2018-07-17,0.94011976,0.57565371,25.05,23.55,息
2019-07-17,0.93857494,0.61231955,20.35,19.1,息
2020-07-16,0.93621399,0.65239282,24.3,22.75,息
2021-06-29,0.93775934,0.69684156,48.2,45.2,息
2022-06-27,0.91760300,0.74309211,40.05,36.75,息
2023-06-26,0.92761905,0.80981875,52.5,48.7,息
2024-06-20,0.95187970,0.87300789,66.5,63.3,息
2025-06-11,0.95169082,0.91714099,62.1,59.1,息
2026-06-16,0.96369637,0.96369637,60.6,58.4,息
