date,factor,cum_factor,pre_close,ref_price,kind
2015-07-09,0.97260274,0.72673957,36.5,35.5,息
2016-07-07,0.96357616,0.74721111,30.2,29.1,息
2017-07-19,0.99268559,0.77545620,91.6,90.93,息
2018-07-11,0.98580205,0.78117000,146.5,144.42,息
2019-07-10,0.92531120,0.79242075,120.5,111.5,息
2020-07-08,0.97426471,0.85638296,136,132.5,息
2021-07-29,0.98865435,0.87900440,189.5,187.35,息
2022-07-13,0.98549020,0.88909172,153,150.78,息
2023-07-11,0.95451713,0.90218221,160.5,153.2,息
2024-07-24,0.96978852,0.94517131,165.5,160.5,息
2025-07-08,0.97671410,0.97461590,77.3,75.5,息
2026-07-14,0.99785177,0.99785177,465.5,464.5,息
