date,factor,cum_factor,pre_close,ref_price,kind
2015-06-15,0.95524957,0.66179303,29.05,27.75,息
2017-07-04,0.98194946,0.69279595,27.7,27.2,息
2018-06-15,0.98290598,0.70553117,29.25,28.75,息
2019-07-08,0.95355588,0.71780127,34.45,32.85,息
2020-07-08,0.96934866,0.75276268,26.1,25.3,息
2021-07-08,0.97852349,0.77656545,74.5,72.9,息
2022-07-13,0.93232323,0.79360941,39.6,36.92,息
2023-07-13,0.94669927,0.85121703,40.9,38.72,息
2024-07-09,0.97807018,0.89914195,45.6,44.6,息
2025-05-28,0.95574289,0.91930208,47.45,45.35,息
2026-06-01,0.96187175,0.96187175,57.7,55.5,息
