date,factor,cum_factor,pre_close,ref_price,kind,event
2015-06-11,0.95091324,0.56244531,43.8,41.65,除息,exright
2016-06-27,0.95558376,0.59147910,39.4,37.65,除息,exright
2017-06-13,0.95039164,0.61897149,38.3,36.4,除息,exright
2018-06-13,0.95823666,0.65128044,43.1,41.3,除息,exright
2019-06-18,0.95915842,0.67966555,40.4,38.75,除息,exright
2020-06-11,0.95899772,0.70860615,43.9,42.1,除息,exright
2021-06-01,0.95076923,0.73890285,39,37.08,除息,exright
2022-06-22,0.95606061,0.77716319,33,31.55,除息,exright
2023-06-12,0.87152778,0.81288067,86.4,75.3,除權息,exright
2024-06-21,0.97967480,0.93270770,73.8,72.3,除息,exright
2025-06-26,0.97239748,0.95205849,63.4,61.65,除息,exright
2026-07-06,0.97908367,0.97908367,50.2,49.15,除息,exright
